sampleID	Subtype_mRNA	ACO2	ADAR	AP2M1	ARF1	CCND1	CDAN1	CDK2	CDK6	CEP192	CFLAR	CHMP5	CRKL	CSDE1	DHFR	DNAJC19	DNAJC9	FAM210A	FAM50A	GAR1	GFPT1	GPX4	HNF1B	HSD17B12	IDH3A	INTS6	KIAA0391	LRPPRC	MRPL33	MRPL53	NCAPD3	NCAPG2	NDE1	NDUFAB1	NDUFB4	PGM3	PPP2CA	PPP2R1A	RAB6A	RFK	RGP1	RIC1	RMND5A	RRAGC	SCAP	SEPHS2	SLC3A2	SLC7A5	SOCS3	SOD2	SREBF1	STRIP1	THAP1	TRAF2	TRPM7	TWNK	UAP1	UBC	VPS33A	VPS4A	WDR73	XRN1	ZNF217
TCGA-AJ-A3EL-01	Dependency1	1.01850334355506	0.635165281285623	0.438565516072735	0.455612105723947	0.233826384243392	-0.257265892330926	-0.390840737328177	0.655686223838188	-0.492645091486797	1.08589305203146	1.13545336030366	0.915309909141695	0.113341483807966	1.50819847749382	0.524060740687911	-0.397205405787982	-0.281807556268848	1.13327017198534	-0.575275922545884	1.25049271010915	0.775144926390511	0.892996248202168	-1.19757608775265	1.10811168704815	-0.805900619909113	-0.783226714130063	-0.925991885857735	-1.29340792126999	-1.27466658189402	0.431940010898365	0.088546181176487	0.0345123293923172	-0.66072440937063	-0.889869402848783	1.26213478274136	-0.13355000291853	-0.479081656806037	1.16132018717479	1.39184262793752	0.440500070161693	0.819973516115779	0.444416473498839	0.940718037797864	-1.20474021350425	0.395926575566312	1.82830013899319	1.57082581292276	1.38318239450629	-0.112575072347474	-0.274600599471582	-0.0415367090956757	-1.32881525345397	-0.626570881623044	1.43645094912789	-0.509173565813978	0.728296916452995	0.80624610962889	1.29340966603684	1.44771884726906	1.38138782007247	0.297621357541345	0.709084444938708
TCGA-AJ-A8CW-01	Dependency1	0.677911822221686	0.865665353520823	0.831356618074655	0.194715972952921	-0.979260089709903	-0.223069501704735	0.276601695524434	-0.80472548284886	-1.20935914808937	0.508808887759158	0.909109702178767	0.30606851969669	-0.222863398264074	0.386532602946551	0.533751507789992	-0.297376885681274	-0.75135073566021	0.0981042630222171	-0.373171736138694	0.732272209243196	1.13707604514892	0.587694792833532	-1.44713183700408	0.977516847394157	-1.37674718474125	-1.02206393471114	-1.17551375295932	-1.76895903484185	-0.700756910916967	0.197775072958028	-0.232086941235465	0.515607812899973	-0.115773607451951	-0.598795702439502	1.11133393230458	-0.30137818780913	1.56583909937528	0.044193461927729	1.34110227097119	1.14228389902036	0.534252159218281	-0.0821728547107215	0.355114581328109	-0.810175372133005	0.686006915409398	0.94103535167623	0.844832478430432	0.721765538679091	0.464579258904335	-0.708326420892074	0.244817801398345	-0.854938917750072	0.554896280602498	0.510778790822527	-0.795070770639669	0.574695177090304	1.12350830323459	-0.0048916564063378	0.796773552729488	0.208061707487541	0.335150306237338	0.580285064639504
TCGA-AJ-A3EJ-01	Dependency1	0.893450242477277	0.318150715358923	-0.15088557772764	-0.113120653053857	-0.583832042202604	-0.520847319284336	-0.0118398533017717	-0.018165782001356	-0.254206958788362	0.13981110965156	-0.10138838935395	0.546134519413236	-0.49418475617462	0.0612171652587554	-0.193812843931915	-0.437906101709625	-0.763567261183625	0.334747179077901	0.486918442810359	0.0149884785669569	1.05021001808831	0.505805396140619	-1.11056724452223	0.286040789758215	-1.0933477226329	-0.299513127219701	-0.232673558120282	-0.756359973123604	-0.907146649756089	-0.0206244357533124	-0.486213450513371	0.746734038621655	-0.472192856450931	-0.7973521537218	0.688882324219175	0.0934560189102044	0.38259879800588	-0.0737268802690275	-0.027655762038505	0.189567467270909	0.0153450213100988	0.259712226183739	0.004991058662627	-0.713126122690898	0.763234671922292	0.570804281951223	0.0874646891378998	0.817380145888095	-0.159941019487522	-0.345648346026439	0.0882943081242973	-0.25291648370073	-0.146393172104911	-0.318628370592366	-0.704889911856406	0.197808073061446	0.421885866644252	-0.119946069320782	0.192018588026903	0.44817827974706	-0.440714801247838	0.244276722635904
TCGA-QF-A5YT-01	Dependency1	1.45494374590217	1.02244021597929	0.215550310161182	-0.782832206879848	-1.01021063731284	-1.3429054691743	0.821943027852005	-0.927071669985676	-1.12934257266591	0.782828159677188	0.197622065506883	-0.325837800072409	-0.15032700530931	0.0740489832185845	-0.344070238376552	-1.16017117624079	-1.15213711828548	-1.0040584817551	0.496298074423761	0.610679352240777	0.188026752497526	-0.0179923228425268	-0.281866827152391	-0.0611286505506044	-0.983371669760156	-0.722845005901745	-1.13212798362876	-0.83194460763519	-0.650521588910932	-2.2307791006721	-1.29826600893109	0.529134835507011	-1.4868858454338	-0.833834782178581	1.05929787810181	-1.12486867368164	0.750701368009588	-0.542128531263575	1.2654420495309	0.166125957191944	-0.092451185258744	-0.298052650436458	-0.335995471114144	0.115916146163236	0.34252592974646	0.352610751590409	0.47941563593289	0.488677178384436	1.06129631375569	0.591602665676196	1.22446787461884	-0.768586075867974	0.259635201840259	-0.614909402754903	-1.50071300435816	0.683844887857693	0.818960149870573	-0.613110219257196	0.686598874518903	-0.543129059797012	-0.0927136441734546	0.251784411358617
TCGA-BS-A0V7-01	Dependency1	0.852229777795217	0.275120458908299	0.722363633605699	-0.971567285787921	-1.15667886855673	-0.433608318278686	0.225243305843186	-1.44865697168536	-2.94590087909255	0.7615103421273	0.212782610248339	0.842580645372378	0.188803237954958	-0.624199663894979	0.475284672418117	-1.15897019925491	-2.54690896915145	-1.36527644453088	-0.510953445756976	0.0933776094322869	1.76454371631978	0.326070553831278	-0.466519847293518	-0.120436011961879	-0.774901927263229	-2.15720427259625	-2.76005058831617	-2.4377140003312	-1.14370844235552	-1.71518057324157	-1.72449026490988	0.781263560691561	-0.91497083525324	-1.81725389030404	0.899488421227397	-0.842350203768891	0.948965215835283	-0.491210131899377	0.764606542441197	1.33686644650226	0.39358140563552	-0.022794856207923	-1.05135769702606	-0.47490442455137	1.50685509519746	-1.23019842431039	-0.134338029401301	0.336827772676214	1.79893360360659	-0.879474648253941	0.91677657641148	-0.428667031880494	1.85987771876292	-0.826745116493347	-2.31113960209016	1.14673611627423	1.35599342586605	-0.616754924597266	-0.0432261832265364	0.880571809837153	-0.962927075156882	0.0719289741550792
TCGA-SJ-A6ZJ-01	Dependency1	0.654694055434873	0.926143633516189	0.594019839712557	0.346618891338869	-1.21894086923977	-0.730329836676092	0.616156116627801	-1.15064621137181	-0.981658158731811	1.6354359881708	1.61859415729332	1.24313487278474	-1.02260050163542	1.40035961799726	1.89057548505775	-0.791892825909194	-0.575290139340914	-0.368938757651151	0.187524643829116	1.1271947311137	1.21740807477875	1.40738946637693	-0.957193596519861	1.21954274593992	-1.41650747991145	-1.3348037491534	-1.88751813211463	-2.09762341680643	-1.52686178561483	0.328610468171034	-0.635091316817044	0.980565841071075	-1.34018538231504	-1.14499530699329	1.6795811774434	-0.366311646093621	1.73401573101671	0.142348449915844	1.74225254499367	1.25375526772426	1.0729273242295	-0.00875501746974526	0.602475906939853	-1.77459755001104	0.447858807683444	0.742477823777393	0.696653929336958	1.35631495074084	0.403450780161816	-0.86771783084171	0.258948322298892	-2.15124751548784	1.23394565265619	1.13135382737984	-1.61261859899451	1.45491759849815	2.18561392045125	0.432783823789755	1.90296455684047	0.296315771460718	0.72050578266599	1.13040601941412
TCGA-EO-A3B0-01	Dependency1	0.357087844056502	0.11685140590754	-0.162428809597875	0.184270903283772	0.0981565233342284	-0.943055419463389	0.0130305783253951	-0.413276277394695	-0.916170416587221	0.52565518849376	0.389670132226804	0.407699386886302	-0.193848667909868	0.0293196811312006	-1.07691132568643	-0.405080501775426	-0.0890174870688719	-0.288110463262405	0.702257082962401	0.153713230191218	0.928768243730157	-0.247461632375365	-0.384826216285274	0.933089285086768	-0.361346758193131	-0.177374548965689	-0.294323136493334	-0.980200579672934	-0.623722711188434	0.35325203244394	-0.358473899676678	0.0812278890143721	0.101759259714581	-0.576173463396318	0.722824411600837	1.39490029507841	-0.22128785887874	0.0077725630464543	0.508876676738463	0.90903625712586	0.279468001354397	-0.194846043661475	0.0100102552107228	-0.717056410553408	1.16226229512542	-0.373411084788835	0.42171841203434	-0.12498710791381	0.90450080960498	-0.554873384583566	0.481588951843702	-0.0241391765237022	-0.465603896694699	0.858109067764064	-0.394837292685653	0.648593310662389	-0.164903783577069	0.145405585922716	0.0455395796542484	0.471304444900468	-0.636599092890581	0.16346634823963
TCGA-B5-A1MS-01	Dependency1	1.21352868993908	1.42558114401229	0.526591875405227	0.944502298074047	1.26517027481791	-0.742126249986192	-1.0645202750579	1.82365558079695	-0.551177352363766	1.32921259524517	1.51011705313932	1.63611276229644	0.353798727400147	2.20328694088859	-0.736526253539859	-0.944067377400677	-0.00997605004661616	0.420921895473688	0.126737365614588	1.69793731360463	-0.163108486458387	0.463655320866143	-0.605676085011048	1.26326252513105	0.423315256164124	-0.478989873912234	-1.57068732386842	-0.976566967033243	-0.566056440580289	1.25439243895619	1.63202704895109	-1.18098525411586	-1.1890689717005	-0.803625289640539	1.74693601675363	0.867539992819942	-0.610909114307867	1.0733387613194	1.76330712709653	1.56623206352907	1.12222936086552	0.637624851706779	1.59198940450983	-0.703339584863694	-0.497854917309877	2.16549879534321	2.48735104284597	0.949579824381988	-0.892451558153745	-0.55300985891088	-0.117759585062258	-1.03475486600681	-1.04297577087935	1.73451141783873	-0.36242308429903	0.794500850161603	-0.201416617206872	1.17784313181527	2.41554416776919	1.65856532079311	1.01456703543318	1.08805774057538
TCGA-AJ-A3OL-01	Dependency1	0.955712041365916	1.26168491604132	1.27422836806817	0.677400470272007	0.436102135541939	-0.365396587857596	-0.367940221813791	0.633956824500236	-0.271520935080646	1.12477580694698	0.775945920404969	0.931786318404915	-0.266062671764913	1.32241187023929	-0.157448906889665	-0.218820566904552	-0.144532205481567	0.885195718050032	0.340530679443697	1.68554484280421	0.629596841741649	0.804879177004426	-0.989221101150316	1.21298992665186	-0.223950262517151	-0.668350665265265	-0.744993819883882	-0.678595171028204	-0.756821557697086	1.26407791801611	0.440245692551213	0.375155467795176	-0.277822874978192	-1.02883925009875	1.38131456803101	1.42694952902693	0.500893197286382	1.31286230311596	1.65269775908984	1.20670550651919	1.38484451241369	0.573928398909714	1.20946627685768	-0.721196942376792	0.749021375849837	1.32620031780751	1.55091399728778	0.610831698321705	-0.0338758274084101	0.229366486254726	-0.0716868200392199	-0.509183566538645	-0.156354755797885	1.30386464187867	-0.714538450371336	0.641815791971306	0.772061957378493	1.3217412107727	1.06851863831127	2.32826124973639	0.725252068590692	1.3281832003415
TCGA-KJ-A3U4-01	Dependency1	1.0693675631843	0.3350032861664	0.350301899864855	0.446220735461825	0.0587880123916595	-0.336089450207842	-0.487532230750414	1.44260582474731	0.0147770141658989	1.23106821117584	0.798553109638555	0.718187290761073	0.0296155626463951	1.47418549848013	-0.158556519802574	-0.415992827147173	0.351892003817568	0.403718685993499	0.392503351498937	1.11301770184712	0.0415656563243426	1.16203161020591	-0.783060893674082	0.836810529848375	-0.139697576985439	0.221094442825951	-0.543245974619488	-0.55379476350365	-0.668916824535763	0.515995716787773	0.196509071537295	0.433286656893273	-0.63013270345255	-1.11052614733761	1.15671837308804	-0.0375478455207912	-0.34393910799752	0.956286974778658	1.11105807738084	0.822246365310716	0.917965506775557	0.587810494005193	1.00439648732423	-1.0693571189658	0.05693624165912	1.33888909347255	1.27212494590134	0.5758186789691	-0.966554752548348	0.415457052884161	-0.600785344048923	-0.771226835558559	-0.531630403479844	0.943537197800908	-0.472924378110067	0.571331384691832	0.586694467581247	1.11813588035154	1.89099781765838	0.787964471365158	0.0501195742421981	0.851384676768941
