sampleID	Subtype_mRNA	ACTR1A	ADAR	ADSL	AIFM1	ANKRD49	AP2M1	ATP5ME	CCND1	CDK6	CRKL	DDX3X	DHRSX	DNAJC11	DNAJC9	EIF1AX	EMC3	FAM50A	LRPPRC	MRPL33	MTPAP	NDUFAB1	NOP9	NXT1	PFDN1	PPP2CA	PPP2R1A	PRKRA	RAB6A	RIC1	RMND5A	SLC35B2	SUCO	TAPT1	TEN1	TOE1	USP9X	VBP1	VPS4A	WDR1	WDR73
TCGA-18-3414-01	basal	-1.32448558360501	-0.961788990107798	0.920777012832609	-0.62202529307958	-1.12597400612544	0.224344206797832	-1.28115790193409	-1.74210774496469	-1.46886174779261	-0.364275573886045	-0.0818534682542653	-0.672538890503247	0.723730256514662	-0.958700445239873	-0.221902558557635	-0.492459143023288	0.0218614899545591	-0.716538216373367	-0.844773833397212	-1.05658842987706	1.65642286229598	-0.410094324295124	2.08045084105485	-1.57252429901717	0.356433084274208	-0.106371613659184	0.0106286328935568	-0.807153777803685	0.932522775866642	-0.798239318014708	-0.502506283016829	0.0747328044383219	0.00201977502043622	-1.75735973973822	-1.14715428127222	0.741876830090855	-0.629786924834099	-0.0267188160364591	-0.464962860675077	1.08464716293943
TCGA-18-3419-01	basal	1.18107564443774	-1.12595137651732	0.441562993205776	-0.947961703795208	-0.0425520293875089	0.578828357550656	-0.975054823751275	-0.265470424815249	-0.84634804736066	0.0375732083138411	-1.00170834983583	-0.108968734075687	0.459253594057657	-0.476495453680138	-0.295721279243974	0.554483568779881	-0.898611400181386	0.681826785267137	0.545041182457353	0.410241180745637	0.607044424014436	-0.0235252042098856	0.651292298566751	0.0392070954361708	0.704214807279183	0.0882770863497275	-0.371954475248	0.266044915103649	0.622168814843191	0.427632070301945	0.490254451495854	-0.955791421931278	-0.650135786757996	0.0769743612688072	-0.357436341520004	-0.463829786537434	0.44397409702362	-0.767911466200592	-0.832008550523172	0.7374591304821
TCGA-18-3421-01	basal	-0.852052101786964	-0.483638988742321	0.554705286908906	0.0950473993975197	-0.909498293998115	0.275595613630276	-0.503981518488397	0.490319587452077	-0.0618382422966654	-0.447105143241892	-0.434604606614897	-0.0927225873941316	-0.137498070095339	1.80790698782183	-0.533912534207002	-0.0670771326817783	0.673885552622114	-0.184789342235986	-0.0508136845006765	-0.347653627792596	-0.14189982583354	0.426089596916955	1.20672488984338	-1.36267879588101	-0.0637063315069513	-1.25141780749592	0.597309551885257	0.373770902048703	0.0573511540920434	-0.32570484348778	-0.444821926384967	-0.647404297426822	-0.928275237441138	-0.262947787615193	-0.21681506425288	-0.317509424826781	-0.305139388660132	0.456405988821872	-1.80344101239321	-1.60359034932176
TCGA-21-1070-01	basal	-0.305748072650481	0.194187140122564	0.030313267736074	-0.791129431443649	0.0952843322886657	-0.599637786302129	-0.593931738784618	-0.789486669694654	-0.538888401226629	0.787267947030348	0.387716269688863	0.213743939672198	0.396468564581433	-0.918826447569909	0.815716042082489	0.661506152667318	-1.49997233612117	0.328423005283911	-0.329925222131061	-0.941166151795543	0.591520752474521	-0.198808658518862	0.427077354602193	-0.715593728143083	-0.827266991954841	0.185817601611619	-0.143272035819567	-1.47795503347329	-0.676644338810879	-1.1116274179825	-0.0885993115510979	-0.351332155601164	-0.512109344973118	-0.614103401045134	-0.226700591585665	-0.389524102613137	-0.376269283212907	-0.229440177013669	0.876223238238106	-0.667043147995312
TCGA-21-1081-01	basal	-0.565165045934894	1.26031741292746	0.288080615488166	-0.592687132994078	-0.0210885395907704	0.0586098905437192	-0.827260964196491	-1.00972784547167	-0.910157811369598	0.345007410047334	1.86560266470501	-0.183112929812067	0.325832499116253	0.2997340363665	2.25802488314352	-0.0535499316318953	0.177969455585303	1.06209527064829	0.344035750787528	0.476968322676261	0.788306274253577	-1.45804918195634	0.845189628771382	0.37959874839087	-0.279964915989678	0.214664952588081	0.16600082917638	-1.5716910247673	0.931330901318129	-1.49253444256582	-0.316351326300188	-0.332479990904487	-0.538732578417093	-0.738805409055964	-1.29491063684559	0.943731348161407	0.0889572141792059	0.187986039015113	0.483713616166911	-0.998446728797001
TCGA-21-5782-01	basal	0.770582978066006	0.114976862913822	-0.205913079564974	-0.761027606303626	-0.906921730328853	2.07341724452252	-0.759470747165127	0.607576438697363	1.68836483751349	0.414696623103927	-0.782244366113202	-0.0428738296057463	-1.4807758672141	-0.424109359618958	-0.29564874233326	2.0135187713833	1.09775661254755	-0.937247457956775	-1.04733144023642	-0.186863036627398	-0.579646799468963	0.781216206226428	-1.64986401471326	0.341897151286608	0.973158121898341	0.0783867143909212	1.23784804098199	1.10175114778607	-0.0368349882673904	1.14588060165226	0.0892321689703513	-0.565674626518344	-1.00546103279939	-1.396856817102	-0.915623250695675	-2.22297837076631	0.0184750011543127	1.15684655206356	-0.0457101809373474	0.997287786375079
TCGA-21-5784-01	basal	-0.750287288660151	-0.443721496468683	0.308202521252785	0.490363474557406	0.285687893440715	-0.648600272487925	-0.12297017953607	-0.842229201588383	-1.59141355655796	-0.64671347302831	0.0343862297368684	-1.41463860993602	-0.68270404802904	2.13603808617093	-0.099253839513405	-0.35331885273765	1.29339799241434	-0.23968234117716	-0.336687644701115	-1.16959758981827	0.440377558016865	-1.33914469829162	0.455184903406819	-0.493013625262275	-1.27970019507767	0.493253932698149	0.433428556875749	-0.659559016335267	-0.596898506631475	-0.343185696129045	-0.332984252997161	0.906244376129838	1.10427879521145	-0.115584617983763	0.0167856177183124	1.471582035078	-0.170891357172772	0.0538455897157453	-0.506752275225076	0.0449374058051012
TCGA-21-5786-01	basal	0.541476006196526	2.60365235837419	-1.50295676078749	2.09067867275709	-0.161111408226885	-1.92959073647616	1.5615986214815	-0.699484433135399	-0.727231914429223	-1.0377381415197	2.58112659060886	-1.07780896596437	-0.348459963538044	1.02952504165027	1.61999411110423	-1.381396587339	-0.898699358758259	1.5033116605913	0.822973242346037	-0.223202331081517	0.0676378992479399	-1.43947852516159	-0.165413740522137	-0.0553589913924537	-0.643750038765379	1.33359020410069	1.13209094131691	-2.02033441669492	-1.25914123874243	-2.57053860234921	1.0131983084945	1.18326171886265	1.45714539377825	-0.934256353175285	1.00535656765229	1.1852331997257	1.00039226709038	-1.47461443391093	-0.0680106384899449	-0.455202607226591
TCGA-22-1011-01	basal	1.4820755900257	2.04263729298215	-0.232100661952696	-0.382526047162391	-0.324028934851697	-0.107260963908237	0.678608458945607	-0.0723346786457173	0.832673717061768	0.596333974232498	0.114826008939411	0.527895459012909	0.21840132601505	-3.19903739664127	0.562268668274167	0.267556860144587	-0.0731034106129987	-1.54948258400339	-1.6211789938769	-0.153572028410911	0.215834567912368	2.24050215710011	-1.24031975155119	0.73107845404465	0.263702321608975	0.608336291058152	1.17069688514131	0.465932686606561	-0.332970613789401	0.559701723210399	-0.0617699347351243	0.356448491711788	-0.255807464988028	-0.649919879340403	-0.292457398793716	-0.155022148590473	1.11251889319721	0.918563548097173	1.11769009016752	0.40977158521499
TCGA-22-4595-01	basal	1.40172564370528	1.15092481132157	-1.15089784575203	0.0494913076905048	1.24137638058219	-0.61742648846014	0.296782142712056	1.20267675301299	2.05979493942499	1.69048038338428	0.99867882386969	2.01267003939545	0.561461277354015	-1.45528643976767	0.883391519303745	0.807930004862856	-0.385590048055712	-1.54450017081704	-0.604432223978521	1.30935220951494	-0.579773896959222	0.525433458445457	0.327130024459431	0.917005722628282	1.35820107446107	1.57489879161465	0.893965091085665	1.75426693771737	2.4921448040138	1.11140269719761	1.04044021243995	-0.094991350635455	-0.0758287809161318	0.566920665427649	2.0251722728103	0.730607330201245	1.73600668633565	1.39675437994766	0.151951721740616	2.78016818416497
