sampleID	Subtype_mRNA	ADAR	ALG1	BRD2	C16orf72	CCAR1	CCND1	CDIPT	CDK4	CEP192	CFAP20	CHMP3	COPG1	DBF4	DNAJC9	DPH6	FAM104B	FAM210A	FAM50A	FOXA1	GATA3	GEMIN8	HAUS8	HUS1	INTS6	KIF18A	KMT2D	KRAS	LIAS	LSM5	MAGOH	MED19	METTL1	MIPEP	NAPG	NDUFS8	NDUFV2	OXSM	PKMYT1	PPA1	PPP1R15B	PRKRA	RAD51B	RAD9A	RHOA	RMI2	RNASEH2C	SDHB	SEPHS2	SEPSECS	SMARCE1	SNRPB2	SSB	TIMM17A	TPI1	TXNRD1	UBE2N	UXS1	XRN1	YPEL5	ZCRB1	ZNF217
TCGA-A2-A04P-01	Basal	-0.714249951085962	-0.931956023548954	-0.469483973352348	-0.471296719238564	-1.11470629850151	0.694928670435188	-1.14369487663173	0.74428503546321	1.10878517714392	-0.386397803922863	-1.53157124492539	-0.143117539919307	-1.36727207597855	-0.318468607376984	-1.03923509762946	0.91363551310143	1.17573257100137	-0.271289412552383	0.600435531211822	-0.107643165121743	-0.280371944129045	0.362821875705155	-1.03812566003929	0.504616145052155	-1.35918869862998	0.624041289636836	0.611740396242756	1.16736981328053	-0.162040750862041	-1.09131296778526	0.36097737984552	-0.819669748799654	-1.44463455205407	-1.20652396661858	1.07893235677452	1.46988564408865	-1.52020521303707	-0.701331108465103	-0.924556272882037	0.285663668379305	-0.882644995483792	-0.368476094731232	-1.37025489109255	-0.0419656026413741	-0.753802792916957	-1.06186385978826	1.47440211712263	-0.161614949163967	-0.639319617457105	0.642893809292864	-0.135318979195069	-0.888813978076174	-0.853417670696698	-1.06674790527307	-0.911649341624963	-1.00559110174578	-0.0437220472396383	-0.473680281722278	0.340401168188011	-0.878463098764411	0.739032038479445
TCGA-A2-A04Q-01	Basal	-1.14273091304135	-1.35131478344647	-0.917249989852787	0.131363633193227	-1.7413843386439	0.859622918282563	-0.945973988718305	1.25062499991623	0.983819501335227	-1.41379586307801	-1.34819237317444	0.781330961080272	-1.50420976592922	0.3645464139194	-1.16003111277613	1.39895650418768	0.498673391476671	0.0951336903341298	1.59691057312943	1.14970379697735	-1.81071807513213	1.21584397185079	-1.53254402114038	1.02937968831815	-1.33170436987747	1.20256242221328	0.59997519045436	1.6983750349793	-1.11483088583184	-0.506425252189477	0.648680905952091	-1.19081763754738	-1.05114093450709	-1.79215575543331	1.49386482267506	1.28295999570123	-1.4202086896927	-1.31603138427224	-1.25129314667867	1.28006997441143	-1.07153032995372	-1.27730079672951	-1.43967100702176	-0.93013592697759	-1.33993134760465	-1.24351321743623	1.88409913846127	-0.820945531678033	-1.43112718362894	1.13366624996151	0.363994719831305	-1.16356257412847	-1.61736706526403	-1.14597400029424	-0.962204431956312	-1.24862117400645	0.898504279615789	-1.10115677876124	0.961498713965771	-1.63415217524645	1.05768481713278
TCGA-A2-A04T-01	Basal	-1.817722413057	-2.02436613183313	-2.89432554507564	1.86619678010951	-1.3942130112826	2.17670128376747	-2.3002411427176	2.21562273619315	2.47043242539567	-1.93695722469937	-2.08248924514488	1.82815369834158	-1.75292803612614	-1.55814917732237	-2.17941315628663	2.57167046332831	1.92953089117756	0.925559804900684	2.11706950375196	2.08878053444425	-1.57824597714266	2.02266085937777	-2.2880709356646	1.96672143975134	-2.30248740280363	2.03238140463385	1.77054191002015	2.06614257664245	-2.40181866896398	-2.05966790898134	1.93101576141152	-1.90435100831024	-1.82542357082879	-2.16555418583805	2.11506659472003	2.57413390075243	-1.93619633469496	-1.95358349467267	-1.72248916389442	2.06537038465927	-2.29403945781805	-2.26179836299865	-1.95081283623579	-2.20105927599895	-2.36425039932605	-2.26347685746992	1.79112936418827	-2.10605225529679	-1.71476906479166	1.77726005138394	2.08384489130697	-1.94391443626492	-2.24991674321558	-2.68774548724558	-1.86811753062113	-1.85951896313673	2.13677604258769	-1.99064332285369	2.36391430808719	-2.02939109360794	2.23463342783238
TCGA-AQ-A04J-01	Basal	-2.28070078531456	-3.17046343188218	-2.84653772030681	2.68927159092851	-2.77946556468062	1.71242525951698	-2.8242531353012	2.51504238441539	2.59290327165	-3.03864732500221	-2.20785669676142	2.01073633295087	-2.36567916982057	-1.27987134984543	-2.10588250620852	2.5044551636103	2.61196668461863	2.00834755179701	2.83335836930672	2.71617291733281	-3.21319144432358	2.77285609840348	-2.77814923618945	1.66814458085175	-2.20846591515101	2.71004335355041	2.27880947413733	2.59501260102695	-3.19459582615619	-2.87787090015158	2.41766711896598	-2.82399891155694	-2.01254943725887	-2.26584190291106	2.59610221104333	2.5269763297721	-2.70433137355433	-2.32469648002892	-3.04519753458944	2.49166445136019	-2.32699827233705	-2.45517290405938	-2.63837303465912	-2.83020230063457	-2.90803944449928	-2.65345621988211	2.56854024756795	-2.83145747026088	-2.43215081015177	2.63633636727509	2.22439147865476	-2.82777612591171	-3.1103643806294	-2.73803179205828	-2.61318864463656	-2.77733957159204	2.29372918708761	-2.79757051716868	2.79616867433488	-2.73048581134984	2.27923094096348
TCGA-A2-A0CM-01	Basal	-2.68976927983807	-2.79388676745413	-2.50886370028276	3.16687760438659	-2.68672580297167	2.86926450002796	-2.65031457701272	3.12214290041523	2.57342847283558	-3.06131402639922	-2.294210045349	3.06371416644016	-2.69266643565535	-1.58834680796552	-3.05291808597049	2.3085329451105	2.57507637950656	2.52957313681587	2.86946903174565	2.92300290607264	-3.47702125987694	3.28980249750676	-2.57379019211135	2.32699199053796	-2.24660261828901	3.06876086311277	2.33471114382035	2.84428120836279	-2.96445610706194	-1.90080858723711	3.06276453418313	-3.1791932833523	-2.73963093726886	-3.00826430123028	2.46350345818178	2.41761125693887	-3.25452223615783	-3.05667476003042	-3.32913548418645	2.58468093730205	-1.9844097618226	-2.90270408806357	-2.62450814070514	-2.77242353745223	-2.77691375708295	-3.13882653629931	2.59858530209276	-3.05957417654439	-2.96137744139175	2.85199330123674	2.3557347049362	-2.88519708857244	-2.56044923962427	-2.85859181530755	-2.90008634776425	-2.8181657299188	2.86264768910186	-2.87977690879774	2.54191927931415	-2.83985524112831	2.7725251723355
TCGA-A8-A07C-01	Basal	0.197761740115584	0.0274920738838412	1.03976973901472	-0.62531912852955	0.297549372502535	-0.163903258646068	0.00324838243106761	-0.144328348360586	-0.435255619281942	0.34987380380101	-0.267520480663153	0.607831144407457	-0.439935743285003	-0.00913777786388077	0.115336728858995	-0.639952705019546	-0.237858672930504	0.564907878053466	-0.449114754666475	-0.148592982553311	0.0327492985997281	0.288798860231556	-0.174552656906553	-0.199183665193097	-0.188169439118638	0.121202579210596	0.756147864811	-0.688232278154828	0.317147074576201	-0.60922525655413	-0.0234585756321029	-0.175601935296246	-0.153813670930669	-0.163049312193151	-0.395108602145193	-0.40207455615666	-0.032591779621976	-0.0139456235989363	0.332207743839774	-0.224180173297898	-0.338589186602059	0.391217466483925	-0.173133077232045	0.815395695360777	0.184026104882529	0.134126032074226	-0.597520394331833	0.113063753733218	0.11147602885235	-0.230910901535879	0.133591314510641	0.0687363498486774	-0.196650835996871	0.422197138706302	-0.255107530015692	0.170480704925013	-0.0408971688921819	0.236333378185583	-0.286823405463799	0.512729876028796	-0.389879636052374
TCGA-A8-A07R-01	Basal	0.557046265955551	0.260596786808432	0.361870939705693	0.436962796045812	0.453242386247046	0.669728047041902	0.0389993362880135	0.176955908333609	-0.161451409167829	0.457957079327779	0.352745615167141	0.728446062516221	0.326928266228782	0.160984088713276	0.0838770621554592	-0.431202017971939	-0.204658708426947	0.452787837300978	-0.213370616966785	0.166929892147875	0.552155154218182	0.335617591264976	0.542986066502321	0.532712087857912	-0.182638976859804	0.027561933273332	0.389623286211054	-0.418920096417341	0.298908128455311	0.166282962753093	0.278835666962876	-0.154635707977437	0.357159863665507	-0.066489605942331	-0.071418248997284	-0.350435732570655	0.0205088030868196	-0.0765243061914871	0.430903355497171	0.0855287787390393	0.10412781176827	0.153680190403705	0.581317410472123	0.0512052228773092	0.339740809855691	0.274457198334284	-0.585894909547861	-0.138125466073145	0.1108778820533	0.0735049065292913	0.516711703150519	0.16812901372224	0.654300477340329	0.15394546720199	0.394329563939897	0.366457707915127	0.153244662275057	0.0442121608447868	0.257851028855225	0.381781755007195	-0.0495397135990612
TCGA-A8-A07U-01	Basal	-0.321668506372176	-0.5722937532099	-1.20617472786197	-1.03755946257051	-1.16013294978037	0.593636746506824	-0.42745344409609	1.00897447503447	-0.00380193453183156	-0.894600548641631	-0.985763655835509	-0.464414532649776	-1.19447611118381	-1.43186525530015	-1.10451635979366	1.1428624605501	-0.213867865747094	0.086512573795375	0.918925041926179	-0.0490909360021379	-0.804344631386877	0.700129621648306	-1.24971422357619	0.310462462497807	-0.831270898198829	0.16162105872919	0.786588513383262	1.13324614436887	-0.541100883446973	-0.649458010202811	0.213438268952862	-0.717638842064551	-1.76762300215289	-1.06335243062086	1.07103924984692	0.838404697958384	-0.991038041114772	-0.739379039576718	-0.700063592065344	0.331952748557066	-1.43883059452326	-0.43581537475325	-1.44197971026929	-0.799244163111468	-1.46843726394526	-0.128288797056112	0.316151879371615	-0.390641999518443	-0.733314067598161	0.71254804361163	0.300671538658398	-0.436107696678417	-1.31442983301912	-0.8659454383457	-0.120158741956717	-1.0797749396073	-0.332904601709201	-0.617453718696599	-0.0196414164854938	-1.06758297795645	1.19276220395326
TCGA-A8-A08R-01	Basal	0.158921918525124	0.448646492992306	-0.0350707433195494	-1.75148104857864	-0.368207545307768	-0.753202792500585	0.690327814264247	-0.0837107319395044	-0.957611393695972	0.095712258576119	-0.289096260265516	-1.49035387441126	-0.520341294595942	-1.65932078337677	0.127876323546831	0.107887434662932	-1.12400613948854	-0.574138050300202	-0.0892650887815711	-0.205346585956907	0.127451865013487	-0.0331762949090342	-0.723038306160677	-0.228856367563562	-0.478868412103548	-0.695282420435433	-0.552909836052547	-0.0900327350768627	-0.111349164223598	0.332296526536176	-0.147834007374056	0.344788169797521	-0.842366387083186	-0.387244252398511	0.714186571736081	0.0651130278083922	0.705029336852699	0.637201541172238	0.437155163668674	0.0448676092638223	-0.761976177288874	0.314783925509444	-0.749402859582387	0.0508679612827109	-0.408544937204823	0.357204409354794	-0.223409190519726	0.654217283277867	0.00582253724943491	-0.442988160670963	-0.867039156118993	0.38723946970362	-0.247443055263486	0.356132448140751	1.29476094676077	-0.0417987895651245	-1.50383230328769	0.161560989723238	-0.806438824123552	0.040835617070028	0.23172913352829
TCGA-AN-A0AT-01	Basal	-0.995490401986893	-1.92499548259022	-1.3735883044742	2.32765038700405	-1.77545533605889	2.13046187496719	-2.09561688830968	2.33888635204398	1.64334995770166	-2.36215060779415	-1.78519911870388	2.43638457348791	-1.60877653921404	-0.374481616575446	-2.10127487759385	1.473104119106	1.33676108300806	2.48422705737137	2.19228117800458	2.48014647390453	-2.41327640176098	2.53413047701611	-1.98753402899226	1.90195260021622	-2.0467241323018	2.27734056801751	1.51416619172194	1.98657144066084	-2.15373612238211	-1.81388649095377	2.00430681715938	-2.34406129211358	-1.28018816544026	-2.40498981050294	1.71096544156068	1.1875881968606	-1.9386508153138	-2.13105664142219	-1.90230025107155	2.28666466541895	-1.72789275470571	-2.31967701352275	-1.54389755162546	-2.28039666527877	-2.14134374036165	-2.19269944649071	1.67229722032078	-2.43858388657611	-2.13246404614418	2.35323070903126	2.50241761939282	-2.31059367907862	-2.29588841539711	-1.99511958271314	-1.65932433874521	-1.71433181170688	2.32063378415938	-2.14988499825258	2.66461715317789	-2.14884502063763	2.0995028450816
