sampleID	Subtype_mRNA	ACSL3	ACTR1A	ADAR	AHCYL1	AMBRA1	ARF4	ARID2	ATL2	ATP6V0E1	C16orf72	CCND1	CDK6	CENPH	CFAP20	CFLAR	CTPS1	CYC1	DDX3X	DERL2	DNAJC9	DNM2	EIF1AX	EIF3H	FAM50A	INTS6	MDM2	MED1	MRPS30	MSTO1	MYH9	NAPG	NBAS	NDUFB6	NDUFC2	NMT1	NRDC	NXT1	PAK2	PBRM1	PPP2CA	PPP2R1A	PPP4R2	RBSN	RCL1	RPL30	RPP25L	SCAP	SLC38A2	SMG7	SNAP23	SPTSSA	TP53BP1	TRPM7	TUBB4B	TXNRD1	UBE2L3	USP7	VIRMA	VPS33A	VPS4A	WDR1	WDR73	WRB
TCGA-BC-A10R-01	Paradigm:C1	-0.252767944401103	-0.759418437598342	-0.157628602832819	-1.20880504722935	0.640368426923306	-0.0521246889852784	-1.06691568282081	1.52997997069189	-0.349332266840516	-0.262293842913425	-1.33119639641646	-1.10486677048136	0.074387998106717	0.00264375520908551	-0.876258170436975	-0.200794158974209	0.464211038010208	-0.403161154515318	0.182695852752983	0.442338184564831	1.14890001017709	-0.406026822075222	0.124185161541972	0.700646717225073	-0.384820443590252	0.548369231257183	0.53502173029545	0.317910160428767	2.63527182506156	-0.85646675934974	0.766018317496774	1.13961329830574	0.881210513154254	0.516616299302602	0.983889015020488	-0.641903760710555	1.11960970601292	0.554040410687139	-1.23035122097236	-0.769671258825032	0.461428925396053	1.48781323352017	0.186489964819956	-0.422306329177129	0.532574217990457	1.08766718745468	-2.16663749896469	0.959246459592684	1.41287951605581	0.156107702216853	0.00381933453848611	-0.0550632625102475	0.00062859050248968	-0.519941106614273	0.718585679305565	0.744345435222616	0.425317079631391	1.16924196391454	-0.212353859381487	-0.461478324749627	0.291864512578527	-2.79085984543499	-1.07343446610541
TCGA-BC-A10S-01	Paradigm:C1	0.284733570357599	-0.0755358759426963	-1.44603113136623	0.291345196331327	1.15458625588014	-0.523603165259158	-0.907935594694797	0.181234047332457	0.250799957134967	-0.84090887329937	-1.09401592863876	-1.14011214067002	-0.813427489030381	-0.245474541925604	-0.981224414152786	-0.323021257600544	0.06427512242431	-0.563565863095633	-0.018734286307064	-1.39718327780851	-0.115948351936519	-1.1274777347954	-0.00141550118212583	1.11991675795358	-0.119275023797216	0.40920968849904	0.0377118627654044	-0.0681635126694257	0.854881640762273	-0.677879606367518	-0.0702935039737641	0.384626687545549	0.235421087637127	0.115645039125682	0.24579809129834	0.656925982273645	0.105712036861558	-0.363185627139848	-0.271433116958798	0.0824083595426764	-1.04632546887109	1.82728413247117	-1.41311808687131	-0.30419348922942	-0.0800730134458496	0.155542067077076	-0.11109501621073	-0.68958852638599	0.36189585810687	-1.18172134366984	-0.77331728454106	0.738706330037094	-0.259711514140503	-1.91539513902538	0.654221733922072	-1.39288815902251	-0.31094196827864	0.362670706482955	-1.21341970100606	-0.342083559576434	-0.266156856690436	0.868335467999294	-0.0762115082582754
TCGA-BC-A10T-01	Paradigm:C1	0.989214283126899	0.948540131982944	-0.614714441407787	0.938631901164259	1.45882433472797	-0.863461955757074	-0.206358359141509	0.305493916851512	-0.570952905873541	-0.710278748579421	-0.767949149285998	-0.0472742797325929	-0.857464345479664	0.786460327744311	-0.843807718222804	-1.19410433558691	-0.0562526316974584	0.617093097364049	-1.87741194247454	-0.259157978759196	-1.00002677788636	-0.00283787168651871	-0.123255924053729	-0.359797833514851	-0.899415019177609	-0.0241189535531834	-1.31776853833386	-1.04423399529878	-0.786191908373309	-0.688152573481832	-0.180436804971136	-2.24416837079287	0.238029620050035	0.49058073803986	1.16137371686976	0.989080465161845	-1.01418579045012	-1.04337169775794	-0.459567031770007	1.13129702355293	1.78654510403294	1.06213306506128	-0.843122787915368	0.653701913980201	-0.708465644843261	0.437711364387728	-1.55565280795133	-0.73548998644568	-0.296854508368475	-0.694872414014159	-0.886150751821148	0.567184590575726	-0.535443407988497	-0.365138686888736	1.2150480573148	0.394342087282259	-0.599468849319987	-0.451732814309616	-0.999661815078793	-0.951946650482557	-0.0739184493496007	0.769958239891758	0.410096414608528
TCGA-BC-A10U-01	Paradigm:C1	0.568849200341074	-0.488581792154812	-0.744487780717791	-0.794086040307561	-0.160679717215285	0.0917051150065426	-0.667001542026304	0.700161567657495	0.00984660992009593	0.40846374240679	0.171948906121699	0.36595739867833	-0.237929846726468	-0.088105072366476	0.500270317065257	-0.235832798145452	-0.355289426176846	-0.00881646410449172	-0.165683580415427	0.764069643086499	-0.514077516385052	-0.262016059511995	0.312921568506443	0.0418997215785293	-1.3126746389459	0.705607063860458	-0.958057713134999	0.21723006451693	1.05345362590402	0.698253609736569	0.569426362681066	-0.887286666874301	0.616534248232594	0.0143927030604999	0.335845643448895	-0.0241793011119762	-0.375408493838144	-0.0232004766585865	-0.961314461336044	1.01020012545681	0.229122119358477	0.204840239214897	0.315331983099532	-0.254298635905782	0.178652791741467	0.60975905798224	-1.37978357646275	0.250226548884947	0.698087006130298	0.0426538442927987	0.153346505121484	-0.255974306154769	0.179475549991046	-0.0641366716228333	0.524971813405817	1.16886407007897	0.408557004077603	0.154924666731214	-0.558959470133273	-0.499435633668295	0.283876455590435	0.173142892568385	-0.372660852071337
TCGA-BC-A10X-01	Paradigm:C1	-0.303848033756531	-0.788205489788002	1.64831220579071	-1.15156727659994	-0.849781738672649	-0.258340167791483	-1.01990481407556	0.288954441504863	-0.554845079729141	-0.275024326652278	0.397000776065697	-0.174367188920686	0.65902093751011	-0.0115783629320235	-0.0927023652212481	0.199126736220707	0.525547693082856	-0.517718078491281	0.312157168897584	0.153538251919503	0.336876381489567	-0.751666058984764	0.519867763382965	1.23324346654715	-0.535118024115488	0.77690109035786	-0.413660718292106	0.439700368486263	1.05470930682183	0.903576936167797	0.647526634508818	-0.354730239302285	0.427176669806184	0.410484219070806	1.34984361601318	0.00404187210138111	0.704566532040683	0.136277351242646	-1.30737462082186	1.09555799396068	2.16266605263062	-0.608200453438989	0.257817876732723	-0.999897892995625	0.843667435938034	1.22012332602305	-0.529169197590156	0.453682892712334	-0.140767702209277	-0.0414905137491942	0.238865160324965	-0.79995931808233	0.137534772279756	0.0572228277244773	-0.130958198701505	0.236710532745812	0.300721140744817	0.161295805746671	0.452773280388862	0.682156967426306	0.518197078196853	-0.195194748519454	-0.148178501973497
TCGA-DD-A11B-01	Paradigm:C1	-0.0127248440911653	0.902660920075396	-1.02158334698522	0.764825628087248	1.20412416812944	-1.1825442875541	0.24067318535143	-1.14209235755177	0.993059254315336	-0.384581660394596	-1.21960286518331	-1.50736073813309	-1.50098615316083	1.42463809699186	-1.09360848390465	-0.650399835045024	-1.56709824746615	0.152071734899621	-0.522383968072504	-0.331711147852775	-0.234575045838655	0.428517808766238	-1.42318452874758	-0.257270212492604	0.124062221247218	-0.901230942284156	-0.30529068848922	-0.955804327160595	-0.723765705707237	-1.19230351685068	-0.944400415545566	0.429840200728314	-0.886751095623681	-0.476321505601606	1.77127727572128	0.347310970716744	-0.391718668347436	-1.28187318690288	0.586076093357591	0.00255215565739871	0.261817238555257	0.0466497107692983	-0.794398751221653	0.709780070055497	-1.57627716835015	-0.995830865226867	1.22497994717052	-1.12363392883967	-0.560969586629429	-1.09334689091019	-0.469841591653573	1.07255563600226	0.0434343417410838	-1.32212903405575	0.623581625018657	-1.03984020085732	-1.08628661949689	-1.12050277701124	-0.852541186395234	-0.394984340407329	-0.715758507021037	0.766064998235158	0.435365018524512
TCGA-DD-A1EA-01	Paradigm:C1	0.294263046096282	-0.0510950020721418	-0.0339960866326645	0.74627532838187	0.361235769010078	-0.406100158039633	1.59243176477838	-2.48091341064408	2.06167240245648	-0.911366135933116	0.124755005207811	-1.32915928087836	1.19710979120719	0.299765506502751	0.527606261003886	0.120909191037243	-0.580812695850047	0.524447210990604	-0.302194833385831	0.529868580799758	-0.0499537256865722	0.171487113475353	-0.412892530823874	0.612043008606171	-0.0157298094410147	-1.75759320246603	-0.00533982156707174	0.0559033906552156	-1.17569263158866	0.864790874290027	-0.761038458273931	0.72925763899277	-1.06991799315159	0.032706347115837	1.60584154219175	1.19094798699178	0.544428178447268	-1.16174444066442	1.13849601176968	0.805097130841765	-0.882789867025259	-1.17328067497004	-0.933294935803106	0.0652739744088427	-0.687656007362494	-0.111174178174296	1.09282843047658	-0.811092145969092	-2.09854029091973	-0.436993009406516	-0.374654800482068	1.70466065673087	-0.334872240575492	0.748202095211431	0.878187262853105	-0.60234927857873	-1.25969774695659	-0.307345437292915	0.703181256504575	-0.135457860201786	-0.355288920408882	2.71607601040015	0.954343664325988
TCGA-DD-A1EE-01	Paradigm:C1	-0.548289831004477	-0.125376028004323	0.996643969293206	-0.87214068529143	-0.0226577903744292	-0.933068163757254	0.360968237345503	-0.528782777408847	0.127281757649071	-0.986113522560602	1.46551696918882	-1.31595748234597	1.53208363026381	0.259271280860929	0.34605269909825	0.435187233667234	1.23976453291532	0.797799287700894	0.518516967828764	0.378432966968371	0.49238293891007	0.91573385476448	1.38255872547581	-0.987514825844787	-0.40063927461811	-0.817002291934731	0.946399122627877	1.07953377266879	0.900958154440869	1.20586536833166	-0.297741009986331	0.0653796571750528	1.10001871334278	0.837269947712599	0.884407700970315	0.759124987990986	-0.601193278234003	-0.203376332102964	0.570728594473453	1.00956219929979	-0.150107357208173	-0.176900446280087	0.271008736211684	-0.332114049935131	0.987037193294062	0.440326237158321	-0.215511524615178	0.351464474596101	0.376814552869037	-0.742468664594042	0.636279524481366	0.669550901879815	0.180695427855383	-1.21673243020304	1.43361477707022	-0.873810985077089	-0.759796683869367	0.914949989385217	-0.0400724693105371	1.08954309293746	0.270225425297513	0.965839211011478	-0.401109687261948
TCGA-DD-A1EF-01	Paradigm:C1	-1.44156768263162	-0.391997703551744	0.011207771059536	0.0332794994379335	-0.227418411854549	-0.523299777757106	0.073428370061303	-0.236335858833219	0.382633432965895	0.633830237695195	-0.129941282005872	-0.544148681072087	1.314327910436	0.450229215126748	-0.310851069612173	0.161788596712384	1.01574834085864	0.287509617767077	1.16577186560464	-1.11890236548635	-0.101395959392308	0.759644953748794	0.504514311512716	0.214842845333911	0.718365505877377	-0.931952438696589	1.12268782861448	0.608413468599038	0.825877607710572	-0.0282209282823133	-0.0587958171428461	0.846781865275209	1.18910648064771	1.15428624273492	-0.14519873404596	-0.688384855784508	0.538561859031658	0.661743821077873	0.24153513231207	1.14299181020845	-0.682429172434986	-0.370029801633081	0.0380368315411914	0.00760827572406743	0.486510931086798	0.933710933499925	1.39369580994128	0.319831800030679	0.56628279129766	-0.0575448258340416	-0.298258204754171	0.481148323925469	-0.284040234655967	-0.620772067306725	0.14697886879758	0.214494673957151	-0.467088246612866	1.10592371786299	-0.0096084686717371	0.0532514678422561	-1.37799156649481	-0.745290491059138	-1.33839299715464
TCGA-DD-A1ED-01	Paradigm:C1	0.177756531978271	0.603100718031522	-0.75880570147661	-0.624696432784299	0.422771818320223	-1.18519390152637	-0.0171899660368773	0.153423672049617	0.376778806212457	-0.851064498221928	-0.605245289535123	-1.57107430731094	-1.11378178714322	0.673026787986485	-0.709129583265672	-0.345426959702908	-0.350446512523736	0.421195572621021	-1.91655507528769	0.00896067186212508	-0.656563249485914	0.663246507142215	-0.604008787392794	0.129828098561956	-0.366309676641426	-0.911925654798035	-0.587270521856286	-0.874029987301016	-0.813911839745682	-1.47897871936945	-1.13029563055895	-1.1817083974686	-0.271924557872474	-0.414222066000032	1.28450564420606	0.796980109289933	0.764282861720661	-1.75249682735323	0.449087745379612	-1.82152131622296	1.5204333507541	-1.76700739176397	-1.01827351749881	0.721562225909981	-0.701580127859984	-0.659720926092556	1.25899657379565	0.248863033019073	0.108249852540146	-1.5057127404646	0.101438473466813	0.881699160881959	-0.808220963030914	-0.620695655406233	0.565691184844838	-1.49285397176582	-0.956004759766331	-1.31930693172802	-1.5315101913496	2.04339080666786	-0.139417946078499	-0.780603656916886	1.04527392922679
