sampleID	Subtype_mRNA	ADSL	AHCY	AHCYL1	AIFM1	AK6	ANKRD49	ARF1	ATP5ME	BCL2L1	BCL9L	BRPF1	BUD13	C1D	CAPRIN1	CHORDC1	CXorf56	DCPS	DHRSX	DOLPP1	ELAVL1	ERBB2	ERBB3	EXT1	EXT2	FAF2	FAM50A	FIS1	FPGS	GMPS	GRB2	ING3	KCTD10	KDM8	KRAS	LARS2	MAT2A	MCL1	METTL1	MRPL16	MRPL17	MRPL33	MRPL49	MRPL57	MTPAP	MVK	NKAPD1	NMT1	OST4	PACS1	PDCD5	PFAS	PFDN1	PFDN4	PNPT1	PPAT	PPIH	PPP2R1A	PRKRIP1	RBSN	REXO2	RFK	RIC1	RPRD1B	SDHB	SLC25A3	SLC35A3	SLC35B2	SLC7A5	SNAI2	SNRPA	SRPRA	STN1	TEN1	TFRC	TIMM17A	TP63	TRIP13	TRPM7	TXNRD1	UBE2C	UGCG	VHL	VPS45	VPS4A	VPS54	WDR1	ZW10
TCGA-C5-A1M6-01	TCGA-C1	-1.57253913431459	-1.60048279897398	-2.00733688167545	1.80108449711763	1.99776304070793	1.63810563962361	1.79871591651666	0.850734969518455	-1.48880884940599	-1.53957280080013	-2.08381667263893	1.28583504786633	1.66814777969714	1.88355980143895	1.70529188498722	1.64129379523946	2.0017438279072	1.79560878867764	1.96397744857591	-2.13780767763043	2.21083999085712	1.95512286546023	2.14721120139757	1.39908838176537	-2.04831634934127	0.536941816207631	1.9766948755185	-1.79118026074751	-1.38974945752583	1.19688731360738	2.11776007517667	-1.88400837901839	2.16714141966956	-0.662953858289191	1.16810323924459	-1.72942540942069	1.0768048130005	1.78646027465926	1.68838820067309	1.09907478543426	1.3026023146671	1.10382831621826	1.30490576409392	1.48964525020438	-1.21086648010807	1.15580927747176	0.9892981175347	1.94884244559886	2.23719155147387	1.5598293212981	-1.30941570453141	2.146118612641	2.23425671873313	1.58255359249178	-1.47036576339842	1.10891756912053	1.71088465828482	1.87876269494163	2.07262986243775	1.49636204420946	-1.12594135505484	1.40485296468591	1.82241118387955	-1.66889409134508	-1.99541820035885	1.604113305342	1.94860252807384	-0.734196485865633	2.04195028444447	1.62216418865295	1.15753288552467	2.5944151539002	2.70029957564628	-1.67006306323304	1.75438523943391	1.91049507427016	1.51065010057549	-1.11831969207193	1.08806247381263	1.49653748823794	1.83487351475091	1.88949670606056	1.39305635729478	-1.15346454860571	1.99388677143801	1.22792542380054	1.67080160030941
TCGA-C5-A1M9-01	TCGA-C1	-0.523746014733979	-0.527088965458332	-0.818287937342633	0.528207247252533	0.262565283952052	0.812697264875933	0.209118664664985	0.500113599017486	-0.493823495492906	-0.45018794474486	-0.786681180176405	0.754168834553806	0.161922053173083	0.524119890542695	1.53430410052353	1.39255037408931	0.68925500485299	-0.196355840533609	0.484750007231737	-0.487333946954338	0.925665430886996	0.64220355949217	0.362399040916276	0.26706838110886	-0.761559357270459	-0.529007012168141	0.724022895590876	-0.432574481112169	-0.568116091366758	0.257382426323022	0.641711633697882	-0.473744805222207	0.282877990799295	-0.188622817473333	0.512599225672488	-0.92935369498994	0.241021519549391	0.433073734778893	1.1669497348645	0.93820567757191	0.653467838412886	1.18562613855278	0.508991666121015	0.684090391234275	-0.154172840201294	0.741392202475981	0.254328921453571	0.491066486030386	1.14562541095724	0.653025152287517	-0.553882676996676	0.538658881501292	0.48432504956987	0.888543775932968	-0.29804829875152	0.328089637515046	0.686566041024647	0.906467136301465	0.931544268186584	0.465385475126274	-0.457578784174719	1.59950408271191	0.299475843580868	-0.177979567009854	-0.340652471305494	0.512430395733821	0.114361183772851	-0.141061330842079	0.634256550657477	0.420909390892577	0.843906898391558	0.434644551680084	0.56254328613374	-0.523199129170686	0.649107523955717	0.671198016613405	0.639073923265362	0.0647701774878101	-0.302656016475939	0.174524299982898	0.492540941361931	0.692620807806806	0.689166943952438	-0.232715153299242	0.0619498076709552	0.500784115088309	0.601366078929474
TCGA-C5-A1ME-01	TCGA-C1	-2.2288497502906	-2.66653097083109	-2.13419827058221	2.61545999592262	1.93562105472225	1.52641578263658	2.50657694792589	2.21579017062524	-2.96736841340015	-2.80142125397495	-1.72357401568428	1.93635986637219	2.67832198463677	1.9621630283639	0.80733967757562	1.47508383505146	1.98738957312295	1.99936081302969	2.04011749866737	-2.23996649650722	2.06683870041554	2.38222735462662	2.65108078506923	2.34631534528387	-2.56016761206073	-2.05057748262989	2.12031971075054	-2.36166342279721	-2.60101352643277	2.18601470314595	1.5947191200076	-2.95282270696635	1.99631472439258	-3.26003676969089	2.30798053028574	-1.98261245147462	3.4112229559036	2.63497474903457	2.12078591583239	2.36449909066099	2.40586758608168	2.51715189570238	2.85839205501359	2.64124245481089	-2.97070579194567	2.07038218582631	1.42738813487725	1.39979773797556	1.9526246083554	1.86194110835471	-2.11071259856841	2.20611733566606	1.96377040884539	1.93007177438711	-2.34477386936278	2.68962730538555	1.56144456302487	2.00346456266991	2.43582043622567	2.73513416122406	-2.44802809103269	-2.1109431390908	2.2461355413962	-1.61778052081482	-2.9206871953232	2.22076641905152	2.67981906410584	-3.23643146454928	1.94411539523389	2.51465352864191	1.96271646506769	2.3125377548225	1.31582743960226	-2.50453689043329	1.69106839938137	2.33041603067003	1.60629403766302	-2.93815886194591	3.25136913644247	3.23876970599964	2.27041989502449	2.56358082305684	2.00121909946363	-2.16650685698656	2.24394990414864	2.43815274012934	2.30016809336908
TCGA-C5-A1MF-01	TCGA-C1	-0.182093418856111	0.0643151368057967	-0.489748876668831	-0.168247240898668	0.250483589542862	0.181884569708654	-0.04528956055189	1.25089717910699	0.111031326225864	0.0589102863864567	-0.438144626374555	0.154615689771368	-0.0481816479595654	0.13069838314591	0.980532344205443	0.460596557579725	0.0361848286852966	-0.87452819717212	0.192520433786226	-0.128920534065919	0.663898265875179	0.246292947080744	0.119620886951238	-0.157939739456949	0.344339336162079	0.145540992153427	0.524611755531642	0.0860948460228389	0.0420816272571031	0.0162344711316163	0.393141108518688	0.133386996839346	-0.166311634714615	0.604288769279489	-0.438456556696125	-0.249115856762162	-0.305840301935963	-0.687825223250841	0.222855563153376	0.149787457409109	0.195611534481001	0.140898438933665	-0.217428989120886	0.170815427464576	0.191993535220577	0.336316338916375	0.657071931167811	-0.0802645000666225	-0.216142441621005	0.0146228276436766	0.139116595469598	0.196412667351169	0.48361411383968	0.355521376136175	-0.115180585585961	-0.351332078577792	0.325588542763255	-0.195717111208283	0.373904723344615	0.030332094826449	0.426085297825509	1.38281565477774	0.270051450443558	0.15286609601733	0.21202672310655	0.0332717971542079	0.00756667134131269	0.00361479003866851	0.116193340570793	0.214685530240167	0.383819319786856	-0.0873250527056004	0.242925894666788	0.272240023166761	0.0389839409212971	0.112879314005776	0.118787857504253	0.353177642112353	-0.43252508076429	-0.655853554311092	-0.218670330414156	-0.0311459017444999	-0.104352717642543	-0.0826788292615832	0.0732212873291343	1.35381607616273	0.194471760951295
TCGA-C5-A1MJ-01	TCGA-C1	-0.951445768436017	-1.14682838139277	-1.19415023825639	1.74903183376231	1.157605142933	1.64881710040256	1.45187567603906	0.196636048001705	-1.87857559077664	-1.21616257564164	-1.60777769644046	2.42314718354197	1.44684995350534	1.08753087254377	2.31208808445725	1.56767286747271	1.31865298282317	1.25371083586353	1.20373904208296	-1.40806330918311	1.00792511252692	1.41165900360736	1.16322915153772	1.2637344925864	-1.61883513588369	-1.30415391004446	1.45121459565982	-1.06750820531934	-1.36877584586811	1.53461507597073	1.24309657320968	-0.472293480192173	1.49275060482586	-2.16041375277598	1.56938108848473	-1.365192989317	2.00999052510229	1.29165596829444	1.53011241663608	1.7183219593099	1.68480415668055	2.26008586149238	1.78099598735154	1.48531451020526	-1.19749462458643	2.37439349295224	1.62146884093114	0.825483087805033	1.70785575609016	1.6048497865756	-1.30526261991203	0.602548638819071	0.739381997457126	1.43953044215188	-0.742997999637036	1.39818715494319	1.80597713910719	1.62623043925658	1.20817016989785	1.61285748008409	-1.25215099888637	-0.319052122394261	1.74837669683238	-1.1748805064252	-0.862672543195797	1.47399752746703	1.20392885393537	-1.43176159528492	1.03497744029067	1.45906233757577	2.41901034340759	0.51697354944569	0.416142537405369	-1.19153687910795	1.20910498825646	1.33212023424626	1.02398324438206	-1.45680323691894	1.39252502250321	1.45349415019714	1.32782468089488	0.972667379753039	1.46391421973377	-1.2839907797996	1.06063716575211	1.56616232445968	2.00135214927689
TCGA-C5-A2LS-01	TCGA-C1	-1.81557478956699	-2.37141311824033	-2.13699690950586	1.90926321117594	2.12725637169331	1.86140350125293	2.28127987475583	1.86801568408127	-2.65757121795826	-2.23879362830586	-2.26339964956261	2.05135083743095	1.97426923539957	2.04246412005374	1.6532623052647	1.87006551607364	1.63854554024346	1.53693330482875	1.49929470289141	-2.522619494996	2.42353500325235	2.10690937890271	2.49599382614283	2.45627050735562	-2.21632778951366	-1.34587288867342	1.88863434614407	-1.88653160349143	-2.10392039756118	1.91793494494425	1.08908598166445	-2.52256832622583	1.699678440385	-2.34904597987628	2.0435700314934	-1.93772629291428	2.1104008042945	1.58776503154955	2.43226739024152	2.16298964776629	2.40880021833024	2.42910483578638	2.05732971855726	2.45611526914912	-2.11255792880707	2.48119620226482	2.37632162402364	1.30856681736814	1.54266625163585	1.92633463442619	-1.8665811473329	2.10010259273806	1.74318478347173	1.79232526289994	-1.86151020108206	2.15272572326743	1.91404152440353	1.74179699467911	2.04999816409911	2.61813673863388	-1.82836421725212	-1.15620787667261	1.92308681680861	-1.40998257179909	-1.79357094227713	2.25501393788768	2.29781455456888	-2.52814157302584	1.64035999136055	2.38448067528012	2.2482740326447	1.34794745842863	1.04511386632994	-1.70550199060758	1.80892526523538	2.00516484587791	1.82306221100942	-1.53275305995637	2.43647911589063	2.17810703658307	1.93272265905499	1.73996483357726	1.7134319517911	-1.9986438239269	1.24278257887205	1.96106118152913	1.99657801683756
TCGA-C5-A2M1-01	TCGA-C1	-1.8545593253346	-1.91014278367538	-1.80297860655717	2.14679573955479	1.62269560420381	1.4181792039765	2.11234109819872	1.87236185036281	-2.34112868731086	-2.06098827113504	-1.83740831374581	1.5054160960042	1.77041465667941	1.65975955400608	1.17564572007722	1.35502980394792	1.66134971919552	1.62466035216622	1.58267554171328	-1.89342135452874	1.87977532152746	2.17384431241467	1.99107126669519	1.74284181794311	-2.02123508362698	-1.50698319795681	1.72830606122232	-1.87885114725681	-2.02744441228525	1.97108116600264	1.46307728720081	-2.29424820749053	1.41006775485064	-2.4894498768421	2.12669118695166	-1.62844322690067	2.7901566337855	1.9625720126173	1.92912672433646	2.07314211470065	2.00001054049814	1.91175981632163	2.58150415513594	2.39355891695626	-2.2588275742324	1.64743694340875	1.05679897406405	1.21223993407908	1.62392432022446	1.75882200064067	-1.88834710574927	2.03480463151782	1.82184506947582	1.86939880122876	-1.81229927473433	2.48904193594877	1.38791797967924	1.77011590671945	1.8608387053589	2.35341744573445	-1.74362678021768	-1.45730519666597	1.72733654716215	-1.09430574394615	-2.21481423110595	1.89756765961057	2.03817366311441	-2.70829876604488	1.68170433297866	1.98357719944174	1.61024050729056	1.50096576449575	0.939122526485855	-1.94858533714261	1.60554147217538	1.86473328840464	1.44609710341796	-2.30573749281116	2.38345477335683	2.24968371164959	1.90313171302296	1.70101767886849	1.45948371985715	-1.49444224495213	1.48344840708634	1.74888940196956	1.91176357840151
TCGA-C5-A2M2-01	TCGA-C1	-1.54302589573997	-1.39173809913823	-1.07153292576128	1.83743255072612	1.34761782886892	1.36866315815358	1.93290684982992	1.19993113894318	-1.37259088153068	-1.81889793939063	-1.21906236103614	0.575076162209593	1.60011449849025	1.88461968103368	0.469146183423085	1.62234041699474	1.82955504396236	1.68090919887423	1.60524291239587	-1.76825304108622	1.29217268461672	1.4335476763817	1.74949539293003	1.86404210605936	-1.41738371664223	-1.68175175698865	1.60086860946979	-1.72947429505174	-1.53950087416917	1.26331213291781	1.01245048918854	-2.10559937445538	1.70023815267331	-1.87206398415525	1.90150206945506	-1.29474932347096	1.67088492749914	2.24526453035896	1.23852102953754	1.46564190435768	1.23087415402615	1.3496080468787	1.37092614765332	1.98497941636418	-0.631892009466072	0.86057783022735	1.77789534017578	1.21575991568339	1.37686730755729	1.5549080347887	-1.61438970259221	1.65885389151367	1.70324937235662	1.81658682283944	-1.42660662925837	2.11655522554907	1.47742793495261	1.56741344078006	1.62578810735447	1.6891388328762	-1.14708311228275	-1.56492231872908	1.41420818961582	-1.19758133026597	-1.42764105692124	1.7753362321645	1.56136891558927	-1.43730932305912	1.70679407018869	1.55551518129476	1.28941414901607	2.0980003330438	1.68411013840056	-1.51217920827691	1.70070701499871	1.75552860915115	1.56660586509031	-1.42229738607382	3.04697378563859	2.40273848250927	1.99891995544471	1.57075773186038	1.93230918367499	-1.67187884273221	1.79739807687933	1.25083992582583	1.35601550007677
TCGA-C5-A3HE-01	TCGA-C1	-0.22457058738229	0.0156443130693402	-0.0506491839288263	0.0899501681448064	0.201639536476492	-0.0262803625669744	-0.10677605498734	0.737827446901789	0.0234174745948987	0.219705795176619	-0.0600459666377653	-0.148602905087934	-0.137721736355922	-0.459944272319987	0.167966144883003	-0.0243465610611019	-0.520218047173493	-0.944073888582354	-0.233318905503196	0.158251009158641	0.519106855536989	0.203303165797401	-0.32735029912419	-0.453058767406588	0.0901623687784601	-1.29673636943261	0.46044743142533	0.0267731069967128	-0.116226763951675	-0.58178244292723	0.0420782433806048	-0.295018909534301	-0.500882678188357	0.0941168198720281	0.00535576227394546	-0.0990917454010415	-0.146114525668359	-0.547592204178032	0.255868531469027	0.408847043644838	0.382851238677691	0.488456156509929	0.0381487634794364	-0.126389146746955	0.064533977420922	-0.246274033710405	-0.285979218766316	-0.375203876816061	-0.479590605218099	-0.22959149589376	-0.00442635585572911	-0.0568752482613858	0.139338678368451	0.60079483346983	0.256148357625973	-0.234549429559021	-0.0783567386052844	0.0103009060602049	0.104319901392908	0.0452019662380154	0.446765844566778	0.884294214102313	-0.476031047377268	0.294862787022802	0.382372929388472	0.019816842727319	-0.191110328925078	-0.184189466757044	0.0151295933310687	-0.066973233696035	-0.245437541590523	0.255370022523243	0.0606340740135346	0.254256150241794	0.123012897585293	-0.188890258355358	-0.24733501722463	0.470448804397662	-0.684982700429128	-0.703873385281282	-0.686237141107291	0.138468412975592	-0.620451431232109	0.0317871930053202	-0.387473764617758	0.493991194168808	-0.17552626839399
TCGA-C5-A3HF-01	TCGA-C1	-2.20519632534228	-2.39747773105406	-1.53451527850065	2.16247488569589	1.49081708842496	2.25455401167754	2.35497774861776	1.09466274720001	-2.5976777348758	-2.30598087313636	-1.9110683097053	2.44999457992428	1.85277085285688	1.65678522013399	1.98909644677406	2.13607446114797	1.73982803312896	1.69585695713856	1.83317262437477	-2.11159198124637	1.67194087629143	2.04249060387997	1.86154315006115	1.86965581810037	-2.14460799760414	-2.89390739972592	1.83573502120559	-1.83818419093481	-2.31980483441476	1.92612517030319	1.96263667113119	-2.00135485948381	1.59669785748773	-2.67991322082302	2.16316472402564	-2.14837434736832	2.66362102122285	1.9094119239901	2.00897192871552	1.93127841212083	2.31764997557762	2.67584127355581	2.27772928166809	2.02273685590421	-1.95231078248824	2.43419039894855	1.57782159627085	1.71103031859906	2.02712801060361	2.12548891343059	-2.54671720203781	1.57458082834201	1.44611964938111	2.19810189202649	-2.48285875414914	2.08856798199991	1.6769006745711	2.20539531757796	2.26273496547619	2.34254567716052	-2.11974116068709	-0.699340582565434	2.06132583262484	-1.86162746384011	-1.96457869524447	2.30033361079711	1.56715210150786	-2.16909596337567	1.82292709219993	1.92192398611885	2.23531042014627	1.13339986809601	1.07165328025872	-2.25877945666102	2.28119640209667	2.00327143985713	1.96716590871932	-2.25329125844733	1.66766995307417	2.01613363369848	2.08990732717466	1.93552610932118	2.0784446682833	-2.24872236879168	1.65090121484928	1.73587765880238	2.3672871373041
