sampleID	Subtype_mRNA	ACTB	ACTR1A	ADAT2	ADSL	ALG1	APC	ATM	ATP5ME	ATP6V1D	BCCIP	C19orf25	CCDC115	CCND2	CCNL1	CDK6	CKS1B	COX6B1	CSNK1A1	CYC1	DCTN4	DDX3X	DDX46	DIDO1	DNAJC9	E2F3	EAF1	EIF1AX	FAM50A	FDPS	FDXR	GFM1	GMPS	HAUS4	INTS6	ITGAV	ITGB5	KCTD10	KIF18A	LARS2	LRRC37A2	MAGOH	MAT2A	MAX	MBTPS1	MDM2	MED1	MED19	MED25	METTL1	MRPL16	MRPL17	MRPL57	MRPS11	MVD	N6AMT1	NAA35	NAPG	NDUFAF1	NDUFB2	NDUFB3	NDUFB6	NDUFB7	NDUFC2	NXT1	POLR3D	PRKRA	PTDSS1	PTPMT1	QRSL1	RGP1	RNASEH2A	RNASEH2B	RNASEH2C	RPP25L	RRP1	RTEL1	SCAP	SCD	SDHB	SEC62	SEPHS2	SKP2	SLC25A28	SLC25A3	SNAP23	SNRNP40	SOCS3	TAF10	THAP1	TNRC18	TP53BP1	TRMT61A	TRPM7	TTI2	TWNK	UBE2D3	UBE2Q1	USP7	USP9X	VHL	WDR1	WDR4	WDR44	WDR73	WRB	ZFX
TCGA-CS-5390-01	LGr1	1.80016098964274	1.98800221481586	2.25113189418098	-1.9632759487548	2.11597129615416	1.41586023410413	0.620972847944178	-1.72256262206666	1.90192381921223	1.27157031864994	1.17512786259379	2.20707702168979	1.58875690425109	1.18234772153759	1.98790447436513	-2.03446531484005	-1.80947727771038	1.51745616433058	-1.33830532371702	1.66514276757653	1.70445927875582	0.83350232942306	1.4060760838805	1.62235512012356	-1.46925650641625	0.0550226752550882	1.0113295897509	2.092573016684	-1.75937902332936	1.92059661504386	-1.38842488397984	-1.806130546605	1.56319212228478	0.706105457390435	1.91674227776352	1.65067307588922	1.45886473773805	1.5889012467625	-2.48466518809632	1.86637919169304	2.11652111812084	-2.1213142587617	1.79153098279245	-2.30575686679462	-1.73419714087048	1.29613329138539	1.70708174683342	-2.27008054701958	2.39895142105932	-1.96225069417508	-1.87233281146645	-2.43348633764839	-1.19292061900033	-1.90634050012687	1.80450392638411	-1.80688913821322	1.84339399888702	-1.52163777304159	-1.33009558869205	-1.76469451040608	-2.18488802124764	-1.9296240320747	-1.41771525151762	-1.88397813857502	2.20957045062356	-1.27125181721571	-1.27402611511309	2.04746089900946	-1.7515911176137	1.52411637896986	2.0757944515282	2.15674880621591	1.94977640533405	2.27934550083169	1.46374090177769	0.815811361656346	-2.2010101294324	-1.91957589113434	-1.9796779313353	1.13877017381381	-1.50643099182561	-1.87754429501891	1.30146427390476	-1.56156721422443	1.89874085378672	-1.39371082593365	1.46025291576279	1.60403980546026	1.22571728159025	1.80597606268664	1.45390916018616	2.28553596221663	-2.18279420865182	1.87113819269698	-1.94633352532886	-1.97451154715455	-1.92167265450173	-1.50057328822079	-1.63436877842873	-1.63968438929821	1.77570376775572	1.69795813589161	1.79924447212795	1.15221864206693	1.7330642850408	1.91714544126574
TCGA-CS-5394-01	LGr1	0.307153819912652	-0.10172443820247	-0.187700288855219	-0.566437074997225	-0.107964530907238	0.209061535069146	1.39068005746574	-1.12805531880271	0.0766604706502489	0.647131387045537	-0.468523516547076	0.61079717689551	0.63224192567457	0.351062559699217	0.751295461612336	-0.595036379501527	-0.387549987815259	0.706436635272371	-0.640287267704137	0.024943743416176	0.760032378432574	0.456255440812836	0.502021033533016	0.911719641546923	-0.485898348735703	0.0258259222678813	0.938107281045934	-0.302650165832964	-0.72075416998913	1.25290733716819	-1.16831672083834	-1.06086618330552	0.758184559257861	-0.338334306922473	0.0278345495624242	0.140747536231285	0.113711583549309	-0.00863562616306288	-0.280673185312574	0.685687911876336	1.15508269388652	-1.15364775251579	0.294080801926782	-0.551198686529446	-1.8596602865724	0.377625836024181	1.46020468625799	-1.02531916930008	0.63366640440357	-0.23693021545252	-0.765760897609757	-0.688731224895444	-0.509907122925058	-0.174029302112133	0.841359311615499	-0.137828028418878	-0.6612461830983	-0.134152810084697	-0.654492323584774	-0.357213021952102	-0.440405624512042	-0.793051191036058	-0.552566515129972	-0.452857560310791	0.988991878230783	-0.106529627838248	-0.474183721754	0.44921350305427	-0.282088624563978	1.21036201807046	0.777443053525644	0.832307329866264	0.766615302146378	0.320791395629392	0.407573935711677	0.645735255908628	-0.828288519764364	-0.886434032242953	-0.480221915648396	1.08770547852022	-0.893163522706712	-1.00923944305629	0.54740897222053	-0.732043660706058	-0.0761448330555216	-0.496256670626308	1.03176461059115	1.30679328385811	0.123369688886979	0.776891079933811	1.96984232490479	0.147521541782141	-0.401963152877378	0.779634899553671	-0.164406763534323	-1.08752366803938	-0.453028119268545	-2.11283024631964	-0.598110081438082	-0.513617126554376	0.611267358128066	0.227033162412006	0.653450841509266	0.33477769714993	0.298565955802379	1.21155956607902
TCGA-CS-5396-01	LGr1	1.78114646678465	0.914985222793379	1.5474855611577	-1.07901291602819	1.54780432953952	0.407690875845047	0.524767029021736	-1.41356671619741	0.735295610411879	0.982520726138919	0.190038654665714	1.19225520596448	1.16385196773829	0.971624252257134	0.970117341014322	-1.12148402376938	-1.11649051732502	0.642618533127649	-0.523070495594349	1.41868969402241	-0.333779076203429	0.427382703630968	1.53606780799049	0.726418740631124	-1.35015676033953	-0.510558548711009	-0.635081429315578	1.55353279721795	-0.775201119081689	1.69380461246281	0.112042077711737	-0.654527430516663	1.17607669165176	0.950229417723071	1.07831246564104	0.937185457926218	1.24731035378764	0.787074766835205	-1.15291995301725	0.785529903983175	0.615001231886945	-0.861262875638362	1.15040675855508	-1.42329623560166	-1.44384402717262	0.337703405329813	1.21434982194889	-1.02810963178127	1.20980794355824	-0.926261759672665	-0.896669008491976	-1.20796571498781	-0.773615532816284	-0.44055703806946	1.4172375995534	-1.12354805005034	1.15837984498233	-1.55716851669934	-0.159042718946651	-0.763086489457446	-1.43585221803247	-0.563164761850561	-1.40031057753159	-1.34896748085847	0.668464748500558	0.00786257888052499	-1.06453359806906	1.24067178961848	0.071753585194208	1.25316426892242	1.16155766671653	0.972587455241821	1.61497977398026	1.5457628733457	0.958928381994213	0.667266322380381	-1.55535609017537	-1.17445898875481	-0.943242084372513	0.76132180419149	-0.236433491763775	-1.13969697502844	0.523657050989473	-1.07982762017735	1.24144429820489	-0.849298652961346	0.691801687533651	1.19920046391842	0.891042273539033	1.08525699122012	1.60483198845286	1.63772646916455	-0.836446827977539	0.678828621779795	-0.380989533883437	-1.34412962249053	-0.769607812461123	-1.42000856243772	-1.61214272269334	-0.601616649116121	1.34536214598173	1.45193061366346	0.694642222430194	1.4797047609321	0.998607329909942	-0.638703671933868
TCGA-CS-6668-01	LGr1	1.29904920181458	1.39090216494283	0.860395955096123	-1.26825297908646	1.19728250009239	1.29691220482583	1.58465287001145	-0.991158977394739	0.777744285926592	1.79604380811619	1.2119279650658	1.73101397080394	1.25159953932242	0.468847131092807	1.35239838603754	-0.62035539046359	-1.65401135850576	2.04990081526466	-2.42082065148876	1.27486173970625	0.0475396015547616	-0.0643723549263604	1.73855137205631	1.48689955669934	-0.881987003979688	-1.24187333167175	0.0310256374511691	-1.36655698580672	-1.68771628983571	1.01588376450763	-1.56727916555615	-1.59540077017428	1.34849553893957	1.17645415737098	1.38456898583015	0.76368969702876	1.60696425686091	1.84950728406127	-1.04758232323061	1.88174297210723	2.54799554939702	-1.40985329636443	0.893866224474987	-0.963285454475715	-1.3173024574336	1.17474332796064	1.1348268579193	-1.72832840757645	0.738197781872123	-1.56161442416075	-1.74891536086302	-1.45507511768365	-1.50375446530862	-1.7220961808212	1.48823830450022	-1.27674019452682	-0.0875852818966359	-0.996654045324398	-2.33106364294111	-1.82249608243165	-1.64236003425856	-1.79521638597267	-1.26442071591298	-1.4638335163463	1.93040498157437	-1.17743034969285	-0.988473096714709	1.44566052062301	-2.2977721812257	1.18788577472156	1.81119304428844	1.53467683078223	1.34217917671133	0.203567370381773	1.26877402193129	1.43151455222608	-1.12201644202719	-1.19825019913385	-1.83634073845817	1.88907703039604	-2.32483430160753	-1.12391994279782	1.71022666398126	-1.75215798078388	1.52134633256859	-1.53882803318203	1.95223156488459	1.82979605092292	0.862328977217396	1.53859998069455	0.384365905424497	1.10059685293004	-1.28911026424565	1.90721725603506	-2.29233775707019	-1.75764875833986	-1.52384906314247	-0.956225657113586	-0.721364291406869	-1.16039318003103	0.923223569117431	1.15309879355267	1.47110803723525	1.60176929228522	1.24591815210787	1.06449759528169
TCGA-DB-5274-01	LGr1	1.35258459463564	0.127378472332562	0.962956191142211	-1.45469803419348	0.80593182174718	1.48412975552379	1.02831986321526	-1.12567355373376	1.58371461256857	1.39108883606768	1.49822324891148	1.11413735046108	1.24471068375392	1.05012346623611	1.45048241972804	-0.848529126673503	-1.18248072651116	1.81915297365239	-1.38261471621326	1.30087931241649	-0.0772017398192732	1.09042022064406	2.27143379029895	1.74095692787018	-0.957126440191621	-1.06290565644373	-0.24133307364358	-1.04311482789921	-0.944781669076784	0.645189629428508	-1.02145331817551	-0.924849840070414	1.63795179238165	2.16327456191739	1.75477599970272	1.5399585728774	2.02050980495997	1.67669520382598	0.0364647565225047	1.25715549622776	1.41451494087197	-0.887679922598095	0.938070108329432	-0.403223747056622	-0.804080149852429	2.20409627731165	1.67303682431556	-1.0397806657362	0.927694326666525	-0.97851186242025	-1.02551451581996	-0.565945044962964	-1.24141236554403	-1.6485074230318	1.46517144303739	-0.964375796126017	-0.400954859863142	-1.45245846249362	-1.44593998046891	-1.44633977711598	-0.904674105454156	-1.17145179786983	-1.18656110462282	-1.08432768948935	1.7351768164038	-1.17567120059023	-1.50575850268484	1.02611802357601	-1.02355804702468	2.00841527145217	1.07340172839909	0.389229467344852	1.22188281348213	0.353193982903162	1.50385230897631	1.5611961356625	-0.404388353870059	-0.787607744043823	-1.11592990258969	1.7036480658223	-1.17321350944686	-0.652689818556882	1.53767686268158	-1.23321023207851	0.66357142166305	-1.15538121453172	1.78869343866247	1.03348883203827	1.22940746530227	1.9500045896977	0.182225011114028	1.20480416753369	-0.28184802643094	1.90085434599917	-1.29358148403196	-0.875118490193984	-1.23915496857794	-0.186405604603668	-0.929390388816381	-1.30397598349538	1.45244599890008	0.958377868638351	1.42722891648194	1.364481104422	1.62434834940647	0.510390536776631
TCGA-DB-A4XA-01	LGr1	0.620121998103071	-0.232860534864575	-0.260587188596718	-0.768312903168476	-0.807554109126732	0.136961258566381	0.220528030501088	-0.883861626811729	0.570840353127464	0.443575011945663	0.231289879956916	0.136214504480079	0.845328379924136	-0.519396929778153	0.235173877982474	-0.225620640456928	0.25333979618652	0.541067957923785	-0.284827126927601	-0.0308895391626859	-1.64882605445751	-0.192918247476611	0.601532227222227	-0.197182223538272	0.473078248136915	0.224776159992057	-1.47842536857251	-1.23299934620293	-0.883280887978244	0.491829430842669	-0.0522208095358559	0.367033357829755	0.401666642479503	0.935107658923394	0.690123033735785	0.240433360230968	0.685877495288459	0.08548432782072	0.267721570322237	0.584071410117916	0.504299610707723	-0.358990793471244	0.314021215832754	-0.310066708724459	-0.308739426742888	0.874369796315289	0.713671048100285	-1.13145896323633	0.263520903019597	-0.104754247986982	-0.144686008833402	0.163202628798346	-0.532333484633592	-1.21916989378246	0.269307957495538	-0.206942682396092	-1.64003931455273	-0.66407659233413	-0.128225056818725	-0.114316419899375	-0.253222217965611	-0.157035918116438	-0.22988265223914	1.15204732957987	0.29671813771844	-1.3811137098065	-1.08835560213056	0.781936431592718	-0.367375373760458	0.604590026539726	0.968131975480643	0.874867757353939	0.674405712757093	-0.364578413239938	-0.0175946281095766	1.17248450406562	-0.248608458548656	-0.265912028841353	0.0854527015307793	0.370408991995234	-0.834940682410999	-0.275739515555737	0.0192769799760148	-0.310694553841578	-0.490295643911874	-0.901965566905921	0.492415103757766	0.936915643267637	0.228082879494538	0.218982650782597	0.0229262454477602	-0.163472040572218	-0.653553407625311	0.318781738724142	-0.416682554676112	-0.363194477054283	-0.628238568767648	-0.331710960708665	-0.461802342041249	-1.18397416855298	0.986491711264578	0.0951380220367186	1.04951197008124	-0.368747068867082	0.565062937305433	-0.817454919884105
TCGA-DB-A4XG-01	LGr1	1.1917155715496	0.447016700238468	1.28299263926647	-2.77323893866324	0.854124545046846	2.24237330545656	1.62682746247982	-1.36362004453766	1.5302807015484	0.706342116247704	0.661867950691239	1.45694646781405	1.65125813351189	0.255405466886699	1.70081553829328	-1.64640967771227	-1.20514885442765	1.81311013645141	-1.63656166835804	1.64821658595652	-2.21391447805825	1.58327837551722	2.03986033212521	1.71453055374553	-2.11015769626348	-1.54702071456183	-2.00118054243634	-1.3437563271482	-0.616189586125989	1.32666084295979	-1.400189198865	-1.5686499017409	1.77608209072025	2.38520644891751	1.29083687492313	0.798624184144517	1.88630361491315	0.884168342616414	-0.814317361782595	0.998143830816285	2.37247555076366	-1.56977297699018	1.56368448016411	-0.719194263955005	-1.48916819483002	1.96181440464814	1.35191196999112	-1.3103330159679	1.73532112895739	-1.49461612679303	-1.87220605490484	-1.71580531875205	-1.22461553684803	-1.77996592563832	1.97286574730973	-1.76211450618157	0.873069274470745	-0.572933929655006	-1.93748471868458	-1.54780913995657	-1.10150276725865	-1.01532821077455	-1.06943752914639	-1.12496694898624	2.08492701201551	-1.74962732008035	-1.9506202877105	0.916511975290317	-1.23754338608823	2.03097791793726	1.86424886858148	1.43142925642543	1.26827573950493	-0.0586354748596104	1.05316009615693	1.47151159136543	-0.819321301460262	-0.935498066855237	-1.92206314118808	1.6902441232363	-2.00522561277491	-1.68865995341863	2.20498008705223	-1.8118003234227	1.23669674412626	-1.39208988119416	1.85176760540858	1.97536912386492	2.35199899998283	1.3743350269075	1.22631572694354	1.13531826048981	-1.21096780006517	1.66543636733395	-2.03596137219627	-0.803821878373776	-1.74534268869293	-1.14731380926211	-2.059173475977	-1.71630588052459	0.83219527345255	1.36085667779763	1.31931503802625	1.30674700460208	1.74362107906484	-0.963097749617305
TCGA-DB-A64P-01	LGr1	0.700972204131151	1.34969372703583	0.902243959263745	-1.33181014900656	0.835700779724899	0.266422220672134	1.77005049685322	-0.801196847477947	1.1767056395979	1.12752323489541	0.810321446868497	0.937767726015081	1.13044296612588	0.136751840443097	0.932374677994981	-0.835821896820634	-0.730516166074706	0.831954611653532	-1.03416076381736	0.7090003956426	-0.759718743485461	1.08718435355682	0.58529017538333	-0.0922882141343822	-0.790491410239083	-0.699496126073292	-0.992490064353241	0.0778190557905599	-1.44680557933444	1.5854888210177	-0.415255583175047	-0.913079971938557	1.35572630144601	0.716921438401382	0.802083933615564	1.03192664856223	1.08884231875683	1.02003094551318	-0.574895713520217	0.563373995625122	1.55017445603103	-0.497571683280527	1.96502650044389	-1.20245263142302	-1.6609405336371	1.19412244255591	0.992240573466983	-0.596024055662373	0.78495184940688	-0.305782552105547	-0.40175381379776	-0.674582492816205	-0.909598006089285	-0.802194142073675	1.29223890414908	-1.1791077519728	-0.138873168840446	-0.717429137770081	-1.0063592187107	-0.442573187104301	-0.565625590359881	-0.524448325414831	-0.667410764993256	0.798972627603011	0.409663776266888	-1.94818451643209	-1.25805828935199	0.678701478164983	-0.513419930908739	0.562936844918762	0.901456648471326	0.902846717577399	1.07352939786682	0.888577275195248	0.773258717648082	1.27125824389133	-1.23068434277193	-1.35686236485757	-0.591904963039678	0.851082422379523	-1.01793272407068	-0.332938466519628	1.0110019561371	-0.567299931089764	1.2537920794452	-0.775863224192288	0.569547932259244	1.51443577482096	0.887779318042594	0.797783391095912	1.76558148367731	0.893141168249483	-0.778620493026877	0.441396507785858	-0.448993026275433	-1.29880527203916	-1.2242033071828	-1.86045626608262	-1.37170064460698	-1.29535513676185	0.521580039437437	1.18762128518069	1.4848023074571	0.224425904864368	1.18183898030706	-0.492595931340848
TCGA-DB-A64Q-01	LGr1	0.977449434770169	1.2608959765683	0.920432925686992	-0.643786403604768	0.0947574417379532	0.586267148281171	1.20993359287589	-1.01573393252737	1.18098032705662	0.707510286384526	1.18294907013112	0.911693551320183	1.14005122628997	-0.511014472372687	0.716487963684884	-0.844245166336318	-0.466889778586904	0.732431122013907	-0.693755156356026	0.346153714332811	-0.501744139438625	0.206952529591809	0.200830269778901	0.243201530727661	-0.337529882202399	0.353824998102044	-0.489458797105668	-0.27575846404064	-0.897607921121273	1.55892831991888	0.752088039452904	0.240495476138642	0.822118686309943	1.1043266221452	0.856019894973125	0.895998749196232	0.661811403423512	0.581053120036986	0.527113022466498	0.740381957143385	1.42201819778632	-0.314802443603643	1.03223820937266	-0.432895950408469	-1.45536511553098	1.29972557410107	0.35526182329521	-1.16343007336591	1.2580588260486	-0.610817219029083	-0.659157541775725	0.246587338298886	-0.559046229131566	-0.915190353710446	0.778840242586046	-1.04614210428958	0.23513029133131	-0.390103069461378	-0.901881512608901	-0.105792328745671	-0.717591824742969	-0.640512319111308	-0.317386309151486	0.408482949128714	0.618113646685169	-1.85475682304862	-1.28167946970441	0.938946474023115	0.0215628940008111	-0.468797323466447	1.01041359224876	1.03001732806602	0.957283729286821	0.456398649355823	0.570719370759941	1.41438517132351	-0.34908587026813	-0.984397867851668	-0.155879219388642	0.926561405018533	-0.906835638702029	-0.715737967535209	0.967927691716068	-0.498571821381422	0.693119512343097	-1.05502336372745	0.413917293228161	0.852850095815739	0.466313343027103	0.897773993320226	0.871626633872231	1.1337375269496	0.0638863833194176	0.445915227180698	-0.680823374060762	-1.02602822189539	-1.54787828253179	-1.00048450554854	-0.835539487665759	-1.48595388309914	0.468022323007831	0.77566926213684	1.46969400389037	-0.288800463806649	1.40475762777431	-0.122912385481017
TCGA-DB-A64R-01	LGr1	1.29534520681735	2.23522002563139	1.82312534864525	-0.517531751092973	1.45385030293884	1.07611914295579	1.11550247181909	-1.27453028354807	1.2901351123764	0.502781165983639	0.956813075725891	1.43043476925445	1.19751412397784	0.426184375791519	0.593208114552885	-1.41125760699413	-0.874108873318433	0.889969166829928	-0.709214081947937	0.888590399797381	0.253156055641179	1.59247169627357	0.0383793117910501	0.200661002138951	-0.661191423368571	-0.54874212042124	-0.0655831678113445	0.505232058047967	-1.66051393103466	2.12415948530958	-1.28597622861841	-1.08068772751406	1.11249074320561	0.198190917834318	0.863492023460661	1.04889218056674	1.07657946574765	1.53026993511608	-1.08917791811604	1.02470259141146	1.82067614496577	-1.58496300593146	1.51813408554748	-1.33506247732052	-1.2283738135655	0.876879092184126	0.465556820549681	-1.44970190129325	1.00300908890865	-0.759091881674027	-1.02033495754055	-0.564179103995613	-0.697606654240399	-1.22081345683241	1.42061870829931	-1.19189784990381	0.794758828261731	-0.918824771412029	-0.536846352502707	-0.770925566878037	-0.925767331184756	-1.13235256899723	-0.244241401605778	0.428103391790904	0.691678513504455	-1.9882424332531	-1.45604927528373	1.59344882690358	-0.823720864812265	0.697772307883408	1.07051529279078	1.1912904273832	1.02548666312904	0.9149066465595	1.14321036300914	0.727104333761681	-1.45433047719088	-1.21030660643025	-0.415266730990372	0.311076415929003	-0.323710270178226	-0.794359909010344	0.317780964214072	-0.63039713206937	1.28644058825433	-0.522770200499676	0.825063540920508	1.50798552660219	0.797823302047954	1.6382305607864	1.01169513269145	1.20206424929202	-1.58234849027185	0.849190093945209	-1.20318879584188	-1.05810846837976	-1.2520391468203	-1.13181686203105	-1.02297586159927	-1.12700523517326	1.41849622475033	1.3004031944946	1.3528187275948	-0.0113214664262878	1.31806632238984	0.146918727647238
