sampleID	Subtype_mRNA	ACLY	AHCYL1	AMBRA1	ANKRD17	ATL2	ATP1A1	BRD2	C16orf72	CFDP1	COPG1	DCLRE1B	DNAJC9	FURIN	IARS2	IGF1R	INTS6	IRS2	KATNB1	MAGOH	MSL1	NUP153	PGD	PPP2CA	RPL30	RPRD1B	STX4	TFIP11	TFRC	TOPBP1	UBE2C	UBE2D3	UBE2N	USP9X	WDR1	YPEL5
TCGA-KK-A7B3-01	Dependency1	0.145542488366341	-1.30418744992969	-1.49844773394814	-0.0172653651342946	-0.398446837254219	0.689093587438527	0.524570312704826	-0.233394984489029	0.123709980626119	0.8018536559939	-0.0482430247954774	2.02327869611262	-0.706213905243315	0.148030076315403	0.0645529517699725	-2.26022828285354	0.189882018746894	-0.317969195086512	-0.123398556641054	-2.4209686559491	-0.552409628888739	0.703868206416946	0.334546250045191	0.656386332439654	-0.485269758765705	0.637132889272842	0.239988213107053	0.249163521708945	0.482069405268725	-0.365096665778268	0.114005759693094	0.7654040789951	1.82706614197584	-0.581290644681362	-0.121757867166939
TCGA-KK-A8I4-01	Dependency1	1.11109035893645	-0.498723627489679	-0.275310656056071	0.852900136357409	0.167662261501196	-0.0928792147682707	-1.23268227056049	-0.17603398480076	0.808642900005599	1.00472469837033	-0.363064241374486	-0.443936124075249	0.454743606068786	0.48517852035076	0.692833819857093	-0.608924518383327	0.987332539200202	-0.191310045241042	1.14429845908248	-1.19855071694245	0.38053807897296	0.51950679566172	0.668688493404794	-0.157148558885012	-0.154249591411842	0.713962932795014	0.653738572643513	0.83001881651259	-0.151455323734751	-0.346777412400977	-0.526285644710675	-0.850219282849846	-0.0278560327855671	-0.219688775967261	0.418138127059081
TCGA-XJ-A9DX-01	Dependency1	0.219369791923611	-1.97166520161773	-0.43765187639915	-0.896976865314625	1.29355293885205	1.45334158696091	0.243827104748577	1.14745087519847	-0.551248830215442	0.604582919124345	1.05231802773645	0.0418490295550977	-1.11619958904802	-0.251148420268126	-0.732028491165851	1.56583866131346	-0.34142113408725	1.55706194650186	-0.21975584664588	-1.49252105989006	-0.249944288822238	1.83579308745283	0.331756858144717	-0.752848871335614	-0.727996609999884	1.80449087079747	-0.553690855099808	1.96153749173141	1.42767503097263	-1.76052468407909	1.14364591252006	0.972306745794275	1.05324753215918	-0.360004583331951	1.27834674663617
TCGA-V1-A9OQ-01	Dependency1	0.959157141821174	0.434598394771796	-0.263528305523189	0.770545490651445	0.0581223818964981	-0.158852389544394	-1.01398894976384	-0.540644136746037	0.991074893363357	1.41922113659001	-0.362002334325236	-0.916895714584813	0.967081596170934	1.242084609068	1.36311450432214	0.342890154945912	1.41698783801359	-0.362760929935204	1.3897851204631	-0.152373250410019	1.52214868136273	0.00156011906604845	1.22518811915348	-1.0878631254315	-0.217828566155637	0.0755054674550623	1.46476224737368	0.33807419201781	-0.450485198215781	0.350611869918275	-1.23369583464997	-0.869182100406197	-0.868859697210489	-1.51581876170739	1.26971838976466
TCGA-G9-6496-01	Dependency1	0.0659285327913178	-0.307508110565025	0.995681703789077	-0.0531400032242787	0.0502221649443997	0.934165378627222	0.325268824090106	-0.418607090314616	-0.595398418143623	-0.58177520720682	0.591932431138344	-0.95297411509706	0.00449451983394343	0.261116889068172	0.495949554628193	-0.299413681588824	0.19044815005934	0.518549264168337	0.530618382733202	-1.49523568203808	-0.141486803179185	0.514273915472662	0.68921194783393	-0.381730224437415	-0.577210744222054	0.41651830465463	0.401384171506628	0.509471190473586	-0.0304455749839787	0.0559188089874452	0.0519690273451495	0.472043215622062	-0.053049230787736	0.281647029157427	0.0389630563149484
TCGA-V1-A8WW-01	Dependency1	1.03060383573447	-0.237053023066705	0.558495698128734	0.854960213465876	0.647256594303093	-0.00919582915497812	-1.8804272603212	-0.12227039280841	0.390359587454709	0.376067025498186	-0.706585304917164	-0.237620211596538	0.974386139434027	-0.200082968729279	1.12641647267769	0.15064423518922	1.17250232551911	-1.3935118507644	1.06353812709003	-1.75455874721697	0.140964363399003	0.917808906289317	0.511956862862071	-0.740031239389955	-1.15627666279517	0.849440644632499	0.107643735813588	0.137769572119943	0.402478329386467	-1.01667029153313	-0.556448156230145	-1.16565200245869	0.154199899287398	-0.523117579038874	1.13592897722637
TCGA-V1-A9Z9-01	Dependency1	1.04351878642006	-0.56762121644052	-1.03696769321294	1.34774741398995	1.19017772981179	0.0779853080776354	-1.23459900492683	0.571106562201028	0.588279042587199	1.04817751703427	-0.512413743113329	-1.2797066758656	1.05039913218153	0.480732420029559	1.41922578962729	0.0217386866797612	1.19978320444128	0.402259029222762	2.11403823366245	-0.463287628559198	0.881255148982562	0.730509840695813	1.1554307701041	-0.856369704002486	-0.868764142220273	1.10691783421897	0.936112521538247	0.94675423542078	0.355634448133257	-0.603552158022239	-0.107377497904979	0.0422319089481536	-0.500194796446109	-0.675712075196899	0.815774839119189
TCGA-EJ-7115-01	Dependency1	0.441929195480422	0.0934309704367556	0.556401689784495	0.350257826907148	0.0718334082618291	0.706146306805661	-0.153377934474939	-0.190515793192771	0.029621399711272	0.405480196220635	-0.00973569375816231	-1.29640955146658	0.437749140661212	0.415694200126793	0.490475620028123	0.482260931749197	0.957106754324428	-0.873363760529246	0.881518259999278	-1.10614956489868	0.454240788711854	0.337709262588413	0.145317853924294	-0.581309200185639	0.214778508635334	0.60734635720105	0.722341407628871	0.652848734229879	-0.520838629815993	-0.0930978133909763	-0.934501875462983	-1.06953981707967	-1.12785555594515	-0.384760199715572	1.22318398784263
TCGA-V1-A9OT-01	Dependency1	0.255245600763323	0.0130925499292843	0.285264566609544	-0.0402413335434874	0.33685319579916	0.219548543309116	0.191200789833547	-0.444823986129752	0.412864989665227	0.36044740034831	-0.0193221916502887	0.193817919156504	0.135137171684436	-0.0174780361193437	0.352656646232802	0.239228774686667	0.403339613325324	0.456811871761133	0.450118532851572	-1.01829410314195	-0.0840051052444872	0.403867819264385	-0.387645743037178	-0.12791574970971	0.0227154217728134	0.230191945767391	0.00569143134568396	0.631247866832244	0.0658676530143887	-0.311203471067298	0.25891889353065	-0.0130732443882546	0.230404300203337	-0.517096439991032	0.003681956241324
TCGA-G9-6367-01	Dependency1	1.02472784813199	-0.519510545128546	0.178651534961781	0.31188967564721	-0.46741040496227	-0.174120611827705	-0.585809343541691	-0.165801506899853	-0.361901106219238	0.49237992709165	-0.331351746511425	-2.05354666090977	0.326065052871009	1.07768995312117	0.600570931294873	-0.578392835837771	1.26000968583969	-0.0185644453722602	0.668835903568236	-0.989518029000248	0.567011914903938	0.21093372930913	0.738305089754429	-0.69240824079635	0.203654879085048	0.408911503461945	0.507397425503821	1.05268778191513	-0.0762550963124794	0.0722444372936723	-0.00620216009587033	-0.353838353597306	-0.924575179012237	0.356736715079459	0.136959115366332
