sampleID	Subtype_mRNA	ACSL3	ADSL	AP2M1	ARHGEF7	BCL2L1	BRAT1	BRK1	CCND1	CDAN1	CDH2	CDK6	CNOT1	CRKL	DBF4	DDX3X	DNAJC9	EFR3A	EIF1AX	ENO1	EP300	FOSL1	GRB2	INTS6	KRAS	LARS2	MARCH5	MCL1	MRPL15	MVK	PEX6	PPP2R1A	PPP6C	PRRC2C	PSMB7	PSMG2	RAB6A	RBM18	RIC1	RNF4	SLC4A7	SREBF1	STN1	TCOF1	TEN1	THAP1	TIPARP	TOMM70	TRPM7	UBC	UBE2L3	UBIAD1	VPS18	VPS33A	WRB	ZFX
TCGA-BJ-A0YZ-01	TCGA-C1	0.838865340899089	-1.84363578128418	0.738402950570668	1.43738766214881	0.911862899047468	0.975517676634595	1.27728822281226	0.808376427446968	-1.34234048094538	1.37034289326021	-1.28760018257498	1.21581442474874	0.771981908218701	1.67599020360804	1.17318819382865	0.249833593953271	0.856158887326673	1.14253539300148	0.797750391026765	-0.96629880807405	1.06240707129871	0.96004638128532	-0.249689209949618	0.947842179498766	1.19100044745434	-1.52662625145782	-1.27284629931579	-1.10188014685754	-1.48627118252471	0.817691815684287	0.928083858947536	1.75497985501051	-1.29041269218203	1.02824389859687	1.4569844948277	1.75362574592105	0.455595107158566	1.28817345116594	1.74198398823315	0.927401977203623	0.744111027140087	1.08297782116153	1.41246772998547	1.21676462446901	-1.70904694517264	1.43179572346563	-0.820782384799175	-0.609272940775896	-0.0983659534776651	0.318204022345396	1.24438881390977	-0.337154716188413	-0.693122608792423	0.913071341595041	0.819527082418079
TCGA-BJ-A0Z0-01	TCGA-C1	1.94263727385507	-0.302303199385533	1.83450996439247	2.0981641378724	1.33118718400722	1.67908163034986	2.38458229019829	-0.39455220412501	-2.10254989063426	2.31157407910162	-1.03268904755645	2.58054321059177	1.65696132431889	1.79034149318134	4.31065551313102	0.472093576040487	2.25182259440753	4.0702739611078	0.74015240609619	-1.53172159396165	2.29121599126675	0.961923195054789	0.408859793650804	1.99892027741252	1.70521941425265	-1.81083446274315	-0.819391046339834	-1.43236642807479	-0.856060344069766	2.16878375454919	1.59621764494868	1.89835490601252	-0.935808301048422	2.25565431327685	2.07598231408345	1.6813815404386	1.85931905170328	0.922395648948457	0.901916662445	3.07070187193813	2.4629588873864	0.604399687148673	1.68041160445131	0.670764506571551	-1.82860532932606	1.74827405945686	-1.66185350768269	1.106491457425	1.16962865318327	1.5494882896014	1.74677484954326	0.493007670849354	0.50877015642774	0.873444646102991	4.3361998985874
TCGA-BJ-A0Z2-01	TCGA-C1	2.1428880512163	-0.822153005699942	0.944391938224577	1.47841367698771	1.60940803941436	0.859357301520994	1.29482150823055	1.37692078195949	-1.35081890608182	1.38141823181444	-0.100350911797235	1.50902556836941	0.772379177727794	0.931860303004307	1.31602461496486	1.56333912026808	1.08038300888037	1.42941809383963	1.21500339332508	-1.60280542609035	1.93117811567025	1.1108240151676	0.890843501859875	1.57268156079499	0.888029518379329	-1.68109593233392	-1.1652930524639	-1.03524272966014	-0.696429729108284	0.735704151775281	1.1755724508738	1.1849900128467	-1.29163255466422	1.76574364136041	1.28910150857704	0.793095495551698	1.23135246530205	1.08111392369949	1.42789361338532	0.966066681633571	2.15583738657298	1.60923059920669	1.17879080193871	1.47317104944584	-1.28159625238007	1.56896144529853	-0.963379388463773	-0.251754921211027	0.811700226765156	1.07910246319325	1.71748526370116	0.0538558031570616	0.756252903149498	1.30066911948334	1.17865356937294
TCGA-BJ-A0ZA-01	TCGA-C1	2.27073126294972	-2.02092814804196	1.66590097733441	1.92978378704512	2.28946634384766	2.08328033436019	2.32239757362269	0.481909148062753	-2.75724455912553	1.67172720428755	-1.39193927619952	1.59553718216111	1.70752159186365	2.33366065911306	0.432025784522036	1.18137739885202	2.89142350439253	0.50676952961897	1.99475011011204	-1.65557230618286	1.91496776660201	2.17454404745196	-1.86290915756834	2.10731923997572	1.43830950709745	-2.2216490060856	-1.67952924778715	-2.30719855442327	-1.09174177862558	1.52984478245882	1.58830757617341	2.26892522164175	-2.60208655813082	1.94261101839862	2.1376141359905	2.35659755268937	1.98902328413396	1.69499897073293	2.41272716809056	2.72999738356574	1.8360727067529	2.32431566901968	2.21831589418996	1.87553319350253	-2.24883502817815	3.0056660278006	-3.08146203211509	0.388915090430751	1.05871909362745	1.51444990158143	2.84178481982458	-0.299537117804825	-0.382688260595789	1.40178772256587	-0.5034116969472
TCGA-BJ-A0ZC-01	TCGA-C1	-0.0685680583173767	-0.278018628445123	0.796593287363657	0.620232234121777	0.142469651957797	0.508127380615719	0.542087663792981	-0.391371926647146	-0.390158741171595	0.0844088012601177	-1.91883139206938	1.04084891869035	-0.0783498196917364	0.522208373149062	1.14639164728455	-0.406120679535723	-0.110140103404698	0.950616474617937	0.700200755754533	0.261717194303715	0.31520970755537	0.540591606264421	-0.969518782390738	0.399375302422204	0.843843666696755	-0.145672157228982	-0.676289591123309	-0.526290989160151	0.513475645317885	1.17247285399199	0.743079236075986	1.43546035311381	-1.00553560725142	0.13623035390558	0.39066929403831	-0.579200290368418	0.121281428826692	-0.235993485839967	1.54983852498893	1.00452833895024	0.186141890267608	0.515425930372626	0.931638818180478	0.542190061362686	-0.986709704612472	1.15804958339016	-0.934929294947715	0.487242408679457	-0.524665599809314	-1.15037961238075	1.56537341676486	-2.1119451776827	-1.1423795070205	0.483810568346527	0.955089333921959
TCGA-BJ-A0ZE-01	TCGA-C1	1.65424783203663	-1.6838357595987	-0.100305927613644	1.01739607748157	1.33668988215105	0.752947661498566	0.870591460388919	0.207025120037232	-1.30157963223924	2.03663172657114	-2.34857738071581	1.3265108305616	0.60476604956702	1.014420490795	-0.0623944216662693	0.0451965410662199	1.00113844686632	-0.251511575997036	1.35530620176538	-0.532426345093799	1.08068433584688	1.58156857736323	-1.29770816534891	1.19679966477529	0.973152630196296	-1.66320743724865	-1.01156289428216	-2.00129021659476	-1.64244933558064	1.44061909714966	1.68198587873877	1.82559405296232	-1.7033383610079	1.29161946340337	1.13087409256111	0.785894085604922	-0.261776465935999	-0.215102693416979	1.76944275847984	1.18417658494639	1.09146598807618	1.49740420008206	1.07363606974148	1.53420824420764	-1.79635360378858	1.28255800344508	-1.3166735252688	-1.09608439763939	-0.696226686271701	0.396387551126287	1.17712190462436	-1.40268806206925	-1.41236217870523	0.396028000459054	-0.500235544830236
TCGA-BJ-A0ZG-01	TCGA-C1	0.963099940425715	0.0140461748601123	1.66494226667374	0.653548132413805	0.920361356298855	1.5262554711939	1.22447954898115	1.20203438224556	-0.705558336491434	0.524102803178698	0.265292027112903	1.17862067314371	-0.0539163763359424	0.0219505796777579	0.185644289748749	1.29132030656296	0.543779015122866	0.0657010173293584	-0.462812641726697	-0.78133812091114	0.758923875931086	-0.0645014662941884	-0.0308388650050531	1.18614416018892	0.451905955202907	-0.959429175297947	-0.965044063321164	-0.466903895929328	0.673429078136261	0.361243909665116	0.113007823523452	0.780324447422352	-0.18020009505062	1.48007539504789	1.31097114924107	0.597734542915011	0.732440862105693	0.15454361894512	0.208714490182596	1.70959858232361	1.52746823662173	0.242090646270656	0.97030489220778	0.302485942372145	-0.707416478661528	0.500567562422646	-0.722009619893296	1.41344757362877	0.947660787224518	1.15987847706384	1.50697362084899	-0.147962218152037	0.372300703339789	0.127606996999015	-0.0302482642139182
TCGA-BJ-A18Y-01	TCGA-C1	1.37310438673322	-1.85998457441026	1.01493908833254	1.27405311539738	1.61491722334209	1.16337210361543	1.45645254558889	0.967868286664378	-1.34009573772111	2.58396191350782	-0.883781201134694	1.91488337687774	1.18150518750004	1.58582614503591	0.665437432255706	0.686660582397639	1.36662742440137	0.692351876456394	1.58240758823041	-1.04603269399097	1.53916826305143	1.08771399487191	0.0703231417312296	1.45901643101834	1.03020157193718	-1.15584046848335	-1.32482786265505	-1.55609296825816	-1.411893572927	1.34534835341463	1.2532858646869	2.42496897925546	-1.79134983061004	1.23918003637019	1.6095229928516	1.86336351248479	1.39289384743268	1.5139784767252	2.07260784193058	1.05045974927403	1.12222894569141	1.58169354927541	2.05457606850335	1.84549006784888	-2.17920154150217	1.61778862533493	-1.5129730422705	-0.711347235775548	0.422446404409677	-0.434309708957935	1.14399616110674	-0.475635029970095	0.137910969764031	1.08824255150605	0.392413168855192
TCGA-BJ-A190-01	TCGA-C1	2.21927245478629	-1.59451053543776	1.08515715912944	2.10248839896097	1.99323299807804	1.175364374833	1.46252081106838	0.79756112476594	-1.79227205261853	1.74549082932043	-0.647246251850457	2.2430501295173	1.44415683443223	1.60069816805406	-0.17552004506336	0.48989007986197	2.14213792459601	-0.0843779731956756	1.70747891312126	-1.83111549309657	1.84852273022064	1.11379059177096	1.23175045134619	2.08069692780036	-0.320725942829059	-1.74293208689801	-1.55780003460009	-1.54533679045587	-1.61850263188241	1.4110816823322	0.941577188360945	1.40767773195872	-1.43987450321997	2.28853573522186	1.27430370030806	1.08102113416602	1.59231138106094	0.954196821985261	0.689931233878039	1.6349441864954	2.01283776041934	1.42619918630986	1.91745019768422	1.67938485165061	-1.74312303186132	1.75933385347464	-1.65320407880419	0.662552154219063	1.05766348939162	1.2298559828168	1.21888351885128	-0.236859215599084	0.666202589809492	1.35640481547297	-0.115114212703027
TCGA-BJ-A191-01	TCGA-C1	-0.208897790446991	-0.0613503502497835	0.314474874300925	0.612310251767009	0.317618857973773	0.0647819801539547	0.872129319468407	-0.567804976142411	-1.07810576942866	0.828049623829025	-0.669964286601034	0.881067335053577	0.0337915229087966	-0.029919337815755	1.14839664121742	0.80129316078649	0.306239931492486	0.993736251068574	0.193149291160852	-0.378531375962843	0.445542379333261	0.356806357353118	0.420049646105717	0.43096813795816	0.98563470408674	-0.33798474018443	-0.551415580218349	0.121504590921311	-0.553031972543697	0.528407005067984	0.345728196570143	0.463200251254679	-0.0100014537919605	0.241456145823414	0.215376480908905	-0.355883160033421	0.797467117522444	-0.0100376847139009	-0.122609944203221	0.286675210727932	0.368419256933964	0.330709057230011	0.411132672632288	0.564913236024445	-0.319316314968967	0.530300400238323	-0.337201060407339	-0.268533121469153	-0.0299299443446475	-0.395702925837433	0.35689754766122	-0.325090846026981	-0.266841574417088	-0.0822097118430442	1.22539585075476
