sampleID	Subtype_mRNA	ACTR1A	AIFM1	CCND1	CDK6	CYB5B	DHRSX	FAM50A	GMPS	GPI	KCTD10	MAU2	MCL1	MED1	MTPAP	NAPG	NDC1	NMT1	PPP2R1A	RAD51	RBSN	RMND5A	RXRA	SCAP	SLC35B2	SNRPB2	SOCS3	STN1	TEN1	TFRC	TXNRD1	UBE2L3	UBIAD1	XRN1
TCGA-BL-A0C8-01	TCGA-C1	1.07850948604026	2.69936580746352	0.610136743569777	1.97894884744892	1.74940986795262	2.3728248644202	-1.38657555419123	-2.41583989320792	0.901942584947882	-2.35659555870184	-0.924879544409464	2.44631248133031	0.190870183914253	1.55062487651597	-0.115492438450138	2.57370989702257	-1.10868242773322	1.95830699908606	-2.24388896602539	2.61850128670073	1.70361172213207	-1.01354732061875	0.615140131668308	2.01295494488919	-2.65166703123786	1.8454288328725	1.64249203056919	1.68811688959814	-2.46615955618961	1.29931593499997	2.73469679428519	1.44449700992461	-0.0755681467268026
TCGA-BT-A20N-01	TCGA-C1	1.15691675698035	0.40054779293965	0.728706144409225	1.11191637598843	0.975156772110917	0.267522323176298	-0.777171326586914	-0.731688345495861	0.779776708072649	-0.764100654137338	-0.066663062409759	0.243662489385221	-0.579873115612928	0.00955009426325949	1.13099066331143	0.557052107385307	-0.726541526955699	1.31326946871745	-1.09418019154221	0.749251743164841	0.191830480586884	-0.188436661015739	0.620463044678058	0.10162568310951	0.899913303356913	0.637233711517471	0.238284792337479	0.783931699903528	-0.724923337831514	0.0856230985358669	-0.211490105776703	1.12891060920708	-0.00509932598433622
TCGA-BT-A20P-01	TCGA-C1	-0.649436224185738	-0.173012121546698	-0.463913249263131	-0.424783534226667	-0.160246348733462	-0.756954512646097	-0.110092627255216	1.01125546346338	-0.0524381003495998	0.376980886937948	-0.0385449760245863	-0.451269934403916	-0.213553676435972	-0.303614476921819	0.964435734884293	-0.6697423297743	0.0702628609517765	-0.476375692424171	0.601926702584483	0.18026978559236	-0.159523443158974	-0.277218193944708	-0.812549496488765	-0.348978210497113	1.40521508348034	0.181563818990911	-0.0784224225184296	0.0795957295873404	0.703769953549474	-0.17709885264406	-0.282934591465082	0.256467623791414	0.379315705725187
TCGA-BT-A3PH-01	TCGA-C1	0.691799904575702	0.248343480247725	-0.630356886317617	0.0745155032620921	0.724696683864038	0.649601817172801	-0.0592939269620065	-0.160658055625279	1.24241766259957	-0.607612071370574	0.0622744481988523	0.270415573116877	-0.0653448527294136	0.745504581959805	-0.67826847668636	0.555091664715286	-0.286753130475237	0.977239955187254	-0.231676201614389	-0.177248134845713	0.76556598495875	0.00764346296428663	0.942125798343958	0.330716697822244	-0.209391286406029	0.842772443252246	1.07323241965658	0.429203521184897	-0.278444384853774	0.848687603958854	0.320412028583899	-0.191234414917995	0.94660568613948
TCGA-BT-A42C-01	TCGA-C1	0.35551978148224	0.80219278929764	-1.49465914583476	0.414874364795105	1.26558543654984	0.957683613546482	-1.38767963664303	-0.481610338860043	1.01824419556124	-1.66422514281811	-1.2006234133194	1.28921877939339	-0.258931863148653	0.344706070088647	0.300149201358793	1.13551377057968	-1.23673998371184	0.526833082547684	-1.04827208431564	0.229588968443427	0.202345729971481	-0.916063579003678	0.55689034380296	0.713433021361389	-1.82095258668781	0.739299067471761	1.35168541713302	0.615484213647483	-0.454461245693835	1.03420370827783	0.596801438958684	0.776368159088737	1.32489991147685
TCGA-CF-A27C-01	TCGA-C1	0.393807231911513	-0.505912403354079	-1.09642657313556	0.0227167158124951	0.437780891627864	-0.75929765649968	-0.714786022268818	1.11899407484847	0.532872764528739	0.813879260459166	-1.17137788391065	-0.163635979711241	0.0418425545116233	-0.996523758358358	0.748816559711396	-0.587342385909407	-0.761458787304821	-0.138681598335274	-0.182911584127813	-0.322989152971798	0.420551559153072	-1.16526459635366	-1.04285188704204	-0.658066309036289	0.293903907214994	0.507459225327039	-0.035510858497301	-0.0221672520912071	1.04464576488481	0.373592036146699	-0.537040725916275	0.584240424179085	0.274934599481427
TCGA-CF-A3MF-01	TCGA-C1	0.0742921190973724	-0.574810307839583	-2.35142216299617	-0.575409797644628	-0.16653079070726	-0.88220178508599	-1.71863410831113	1.82646881662183	0.208343485279247	1.05866865343929	-2.26925952271786	-0.24249730408662	-1.44760057975533	-1.0258837031861	0.981059686685981	-1.06412985284884	-1.3505991929925	-0.268991219900432	-0.224466944942189	-1.02634257764325	-0.11485732914647	-1.59391345849295	-2.08002278768008	-0.104556664231382	0.21027382387574	0.451299554800119	0.690190356257617	0.79478751934621	0.967237255879002	0.692371981619599	-0.453016621033709	1.13100132803959	0.527846101366235
TCGA-CF-A3MG-01	TCGA-C1	0.267913270420898	-0.362283467655926	-1.97199091262148	-0.643877312661688	-0.418539516608915	-0.0786726739151495	-1.25940690917235	1.07228887520326	0.82159370342474	0.844980314936608	-1.1562987349814	-0.0287191406774925	-1.61124688646343	0.106099329741313	1.07951841913112	-0.726125937707855	-0.848466979639068	0.382113706604635	-0.721017326389557	-0.453167223592623	-0.0392666177045684	-1.06131808607781	-1.66076379841119	0.0985758245205522	0.939117474833179	0.2062352813883	0.113615040088971	0.204658246729011	0.269417544825674	0.786233748958854	-0.631848482668779	0.620527594209168	0.399891258027408
TCGA-CF-A3MH-01	TCGA-C1	1.44511030939786	-0.383441730513111	-1.05431758430299	0.435138120428614	0.554082651668614	-0.148119429957357	-2.20261085275799	1.66274138214362	0.827344966920689	0.894321403905528	-1.62285778517267	0.307916198292185	-1.17856736461196	-0.0892092515696363	1.4796522588907	-0.800644735905601	-0.883710345006311	0.372143717251937	-0.0124857761123486	0.521748794597349	-0.289240804287876	-1.14015215802877	-1.51884071670991	-0.0330995565392511	0.792130359801367	-0.00601656010156078	-0.0278912495658266	0.952891723826684	0.918060744839962	0.591977751212999	0.189511667322187	1.86611628085248	0.324887720353394
TCGA-CF-A3MI-01	TCGA-C1	-0.316338283691477	-0.408153113982427	-1.88386296308401	-0.480641832322133	0.101665548657199	-0.548127970245249	-1.26998800232182	1.31051496318928	0.19010830259645	0.345991391942324	-1.92062159066648	-0.00361860773587586	-0.608146251625975	-1.35094544360103	0.59435139131364	-0.502954136011552	-1.155853671945	-0.251849750994201	-0.209102580259982	-0.70765098449122	-0.567935047519321	-1.22417218878993	-0.94103956244005	-0.157607955957617	0.245994072605893	0.477786002320043	0.36277093611541	0.476989550624158	0.81684429295972	0.475881159216854	-1.19059414074033	0.53412062293696	0.622167714772179
