sampleID	Subtype_mRNA	ACO2	ATP6V1D	C19orf25	DDX3X	DNAJC9	EIF1AX	FAM50A	MCL1	MDM2	MED9	MRPS11	PELO	SIN3A	SLC2A1	UBC	USP7	VHL	WDR73
TCGA-A4-7583-01	TCGA-C1	0.196728312788778	-0.462260412895094	-0.162057500805789	-0.626558388251337	-0.220934807596676	-0.987217302283151	-0.565864040220761	0.0607586398315814	-0.621014427637163	-0.155506711211684	0.276992015367043	-0.346329965640558	0.0346096390414304	-0.105973101421716	-0.661738414406956	-0.735652576670591	-0.0288360060716111	0.516276522036581
TCGA-A4-7584-01	TCGA-C1	0.957404936604479	0.23772023913605	-0.242672541035234	0.722932104897261	0.535670198282475	0.505845133177637	1.44153142170988	-0.414905590708656	0.60005802330467	0.0275748450421342	0.734440401136302	0.969194194944264	0.615411982951563	-0.510843404780583	0.156685231283047	0.711769506345196	-0.837383384604324	0.654672900451076
TCGA-A4-7732-01	TCGA-C1	-1.6091946368913	1.03667749643711	1.15274166151703	-0.593745706700462	1.49197188126035	-0.550848338683268	-0.509691756208129	0.265829392789937	-0.368524213040205	1.3062061351532	-1.02110338246232	-1.09310198495257	1.40662740901683	2.13475784141765	1.12812781074239	-0.252849586492941	0.361888064132129	1.01278025053517
TCGA-A4-7734-01	TCGA-C1	-1.52961984053115	0.288263312098348	0.193913650136037	-0.223877347743725	0.222439589174194	0.0615552463892996	-0.820389958642006	-0.616503510453322	0.743606902648664	-0.649672414637228	-0.206853717753816	-0.446525215741192	-0.638148567286621	0.261023414794555	0.567672463650583	0.853705140991835	-0.0755224454858642	-0.62591550904175
TCGA-A4-8311-01	TCGA-C1	-1.49845148431129	1.40003390554166	0.663305113442984	-0.370299318628162	0.352267336844503	-0.0322115567535601	-0.962194436598351	-0.196165042439705	0.207495954177145	0.310436368192509	-0.751653312622543	-1.22673165553465	0.217205920901834	0.378614577383474	1.27086089455072	0.151470058346086	0.0209663122774742	0.560641160334495
TCGA-A4-8515-01	TCGA-C1	-1.01433703402574	0.217187614439441	0.0233221308327071	-0.461740420181994	-0.362026900497219	-0.432842222628749	-0.900514635799429	-0.00857727576328663	0.554515528930089	0.0753634000253775	0.312085474419909	-0.130186992882061	0.401240463996051	0.359793664265374	0.125458225282781	0.549997026954024	-0.275467879287971	0.425670926908035
TCGA-A4-8516-01	TCGA-C1	-0.713242078778016	-0.215492030952861	0.159052142664039	-0.38782283635576	-0.00901937482801593	-0.109841510495612	-0.519791258767411	0.154832501999528	-0.008668471553753	0.621774889703604	0.0381867762448258	-1.01853794945192	0.647180757850602	0.0721725662336788	0.378340124520946	-0.830842890370783	-0.634035609448621	0.173320987061948
TCGA-A4-8517-01	TCGA-C1	0.317809779126445	-0.21043435092679	-0.264934590979714	0.10059580729255	0.579511646116228	0.657171258135163	1.46477381634265	-0.539611032278373	-0.0984946151794004	-0.250392322556953	0.155182353033539	0.893728019243406	-0.15153950760704	0.518352824428093	-0.653298420560777	-0.26410346528523	-0.993702245722224	-0.204972456390222
TCGA-A4-8630-01	TCGA-C1	-0.478686966489329	0.812758227380212	0.250081531124551	-0.612709915296638	1.03170959930061	-0.595256413426312	0.663406239426691	0.342686375926817	-0.672819620202251	0.981866708302286	-0.599016569313875	-0.647139103039659	1.02734351032421	2.11873322936453	0.883280319455097	-0.953604048113238	-0.0330571925142281	0.764982285928841
TCGA-A4-A4ZT-01	TCGA-C1	-0.512042644241224	0.531741924299203	0.476515442744275	-0.387099436021411	0.173152697323248	-0.278528042094438	0.29820716590793	0.7033224193314	-0.275443425559891	0.0289114855646116	-0.465452482885364	-0.535583637125294	0.400034368889368	0.407255086616802	0.772611830909737	-0.401700387752782	-0.904154733755844	0.656022761922509
TCGA-A4-A5DU-01	TCGA-C1	-1.52825349628243	0.485363154081056	0.431249095457609	-0.414486615064664	0.380376337061389	-0.704963192850078	-0.0372803303601546	0.839406134572667	-0.363053641454702	0.91056550262763	-1.07844859344012	-1.28957952874801	0.0684067970963997	-0.491273554055123	0.818821946507096	-0.396851716081563	0.0413227478455622	0.120853397166657
TCGA-A4-A5XZ-01	TCGA-C1	-0.368624303101379	0.471718368064763	0.561436721205421	0.213986976761787	0.00662424788418771	0.353161135673517	0.432255211819455	1.11297750360619	-0.187356920320496	-0.0194059930642248	-0.324878219225244	-0.22070909071345	0.107634503111395	-0.482120166936755	0.796554607468538	-0.345556165666679	-0.274660236639908	0.91852206605328
TCGA-A4-A6HP-01	TCGA-C1	-0.364091757276385	0.258556466107791	0.558849679866586	-1.15152952210471	0.534184399877207	-1.67651609344157	-0.78383634898824	1.4266612809334	-0.42305315010778	0.424589725795385	-0.189437098647513	-0.696610139556357	0.904112047742837	0.445550536736855	0.128614724707416	-0.81998075318836	-0.481123357280875	1.35903377290054
TCGA-AL-3472-01	TCGA-C1	-1.91978014807096	0.69734895797949	1.57656471072706	-1.28780372596785	1.148865901041	-1.12911314346633	-0.0288654400635646	0.753318114531638	-1.45608532922979	0.998588621849241	-1.42330626199332	-1.30601198180989	0.485101067958531	0.0402329683324054	0.659475510178314	-0.94971618648515	-0.654283221304553	0.00448329868913664
TCGA-AT-A5NU-01	TCGA-C1	-1.47379338526509	1.7079967355496	1.67470720045249	-1.07634720965338	0.647991543195733	-1.52346717535696	-0.119109733052566	0.81557270775973	-1.68513208685525	0.839832199418025	-2.31204892569728	-1.86146154418483	1.33775076629008	-0.05645580215387	0.989029201307456	-1.63122489277225	-1.58906183834219	1.58307323643945
