sampleID	Subtype_mRNA	ADAR	CCND1	CDAN1	EIF1AX	FAM50A	FOSL1	IRS2	KIF18A	MCL1	MRPL15	NXT1	RAB6A	RIC1	SCAP	THAP1	TIPARP	TYMS	UXS1
TCGA-44-A47B-01	S1	-1.84495213981254	-0.788349670507155	0.552556838201293	-0.237353362184843	-1.37644938380884	-0.126548129684113	1.34479627465608	0.536703553541583	0.384118649920445	-0.758669167598605	1.53377001020374	-0.2215088135097	-1.11932262488794	-1.8034595392449	2.07576290038684	-0.759647865244466	0.386720430851841	0.498082406916833
TCGA-44-A4SU-01	S1	0.516420666748088	0.195899013683986	-0.797857986715634	0.426561097692193	-0.0515935765323379	0.638208432322634	-0.401167355433887	1.220460882059	-0.719207896986863	-1.16682517414246	0.514840239644552	0.941518988862827	0.96157407297718	0.359838730668722	-0.0273859481664339	0.807242226602879	-0.0720308884797858	-0.446015430471623
TCGA-49-AAQV-01	S1	-2.01106966906856	-1.35749623809547	1.39595926490448	0.0970216435298773	0.319754568467309	-1.4839243926878	1.17201051093692	-0.0900704879436093	1.5171579242805	-0.177687734968169	0.822888437646057	-0.418250111994346	-0.877397759161292	-0.487058650851671	1.24049637064032	-1.61186163767171	1.39183887624689	1.38423218225746
TCGA-49-AARN-01	S1	-1.377375876004	0.620286869716036	0.624092619668806	-1.58243321863967	0.637877103909004	-0.751659134825455	0.214408666349823	0.0734442130912055	0.140213441186881	0.660565258305451	-0.5218008574827	0.851510990321497	-0.177997856358809	1.29427549026852	-0.406888276853459	-0.613173610642288	-0.0725195758719081	0.791751925362765
TCGA-50-5946-01	S1	0.642580993756043	0.655982429906896	-0.99234600593958	1.18573266435584	-0.296343532109586	0.901301096144356	0.443669697859339	0.51732999571317	-0.0334991984014435	-1.02864245320083	-0.128316999755613	0.582155859195673	0.691797341787223	0.643485041518515	0.0669189919499569	0.598613336355094	0.817760088918835	1.06458478233158
TCGA-55-1595-01	S1	0.425669141897405	0.807790316970655	-0.18724089558813	-0.157610629974609	-0.425019200065505	0.626614298872908	-0.166032571646077	0.118172169154127	-0.53224857454529	0.981351653338064	0.422313095523048	0.654644397045516	0.437242059806798	0.459948200033796	0.0842956765825564	0.217165525626958	0.782760963061191	0.495266290955303
TCGA-55-8506-01	S1	-0.878730464484065	-0.971363400834916	1.47914042359963	-0.776870187587961	0.33484447855871	-2.06708895359726	0.573523029270148	-1.69766610929254	0.953616651338991	1.97595105158054	0.247273593879765	-0.80893105012227	-1.12375505869251	0.360075133163718	0.612211225075705	-2.2115323606702	0.645682441711796	0.713264207789063
TCGA-55-8514-01	S1	0.212008310175333	-1.19935487597918	0.22631828539134	0.970100655782569	1.29071369805047	0.412709683044972	0.921270709430771	1.83222290577166	1.00328227349398	-0.925602930697587	1.21652341358674	-0.198799779764098	-0.347093646187485	-0.363448095032049	0.867016851824314	0.755054270592007	0.542697101892135	0.753945862246635
TCGA-55-8616-01	S1	-0.623969032686672	-0.272611656902564	0.498465293701003	0.658784136825129	1.32731987934376	0.381136024148829	1.37600624436583	0.475623675903381	0.909459112170138	-0.877629468699989	1.6264171683444	-0.738225568468742	-1.1445865258855	-1.70559647585445	1.0310916598633	-0.00916131011037741	0.189935276438034	0.461805763705343
TCGA-55-A48Z-01	S1	-0.547586424105067	-0.0690647886051326	-0.105733637128861	-0.0430633323722153	0.416278398949088	0.50325675660692	0.856962304034721	0.780751536055423	0.460462318639687	-1.05112056328602	0.774428633638371	-0.607593452009216	-0.922272379746959	-1.697680485905	0.692205096490265	0.271900518295226	0.0269314544811704	-0.292136795511115
TCGA-55-A491-01	S1	0.259826525501532	0.638966770083803	-0.121244295419786	-1.00526288832169	-0.247692311867832	0.734361941236981	0.274718179970885	-0.0270746929834107	-0.606643813022508	-0.265175328769422	0.400969493127006	0.239701572267399	0.506680454255094	0.104641655048052	0.0931526753285536	0.954939170498161	-0.33443174847332	-0.106098796341841
TCGA-69-7979-01	S1	-0.668064617345197	0.905420035074706	-0.406206359712556	0.781855065410447	0.133371664355376	-0.19251475537065	0.81490666889076	-0.128436561402282	0.45415246274401	0.0390726814248051	1.09844369461376	0.506153630844201	-0.00563514751044826	0.312819089594974	0.135535528873988	-0.717954958189281	1.20537368495195	0.297383355650932
TCGA-69-7980-01	S1	-0.502684269468545	-0.00124150608743136	0.0748079236584184	1.08724934976833	1.19121560656869	0.565323767102826	0.561603451626878	0.950270554029868	0.424556395703622	-0.696814778701255	0.568150847663509	0.380042093503858	-0.204032459761296	-0.608085082846677	0.862866381941624	0.742103138701216	1.07608366011286	0.748443709532862
TCGA-71-6725-01	S1	-0.347594953030931	-0.68853908040419	0.0528709744828469	0.720714416757759	1.50680841189231	0.0476188643064432	0.474057620932288	0.769647651660878	0.105619979351676	-0.674295064334856	1.10179322269592	-1.67954604968901	-1.45891650447515	-2.07086919104797	0.0849132380958074	0.287027358964024	-0.586698712098759	-0.123155309010267
TCGA-73-4668-01	S1	-1.13908524872252	0.174309506582541	0.858983026763669	1.18506523791684	0.621722676547034	-1.25718807937327	0.565581705147773	-0.584386960406554	0.154335391750982	0.66234772232378	0.426450328912213	-0.832154595020305	-0.403733880262018	-0.976161438467307	0.938638770239936	-0.232024258437085	1.3315497134291	0.857832658278728
